functionname,protocol,device,subdevice,function
12V_TRIGGER1_ON,Denon-K,4,1,12
12V_TRIGGER1_OFF,Denon-K,4,1,13
12V_TRIGGER2_ON,Denon-K,4,1,14
12V_TRIGGER2_OFF,Denon-K,4,1,15
RETURN/BACK,Denon-K,4,1,34
GUI_MENU/SETUP,Denon-K,4,1,35
TUNER_BAND_TOGGLE_AM/FM,Denon-K,4,1,152
TUNER_BAND_FM,Denon-K,4,1,153
TUNER_BAND_AM,Denon-K,4,1,154
TUNER_BAND_XM,Denon-K,4,1,155
INTERNET_RADIO_FAVORITE1,Denon-K,4,1,242
INTERNET_RADIO_FAVORITE2,Denon-K,4,1,243
INTERNET_RADIO_FAVORITE3,Denon-K,4,1,244
INTERNET_RADIO_FAVORITE4,Denon-K,4,1,245
QUICK_SELECT/USER_PRESET1,Denon-K,4,1,292
QUICK_SELECT/USER_PRESET2,Denon-K,4,1,293
QUICK_SELECT/USER_PRESET3,Denon-K,4,1,294
QUICK_SELECT/USER_PRESET4,Denon-K,4,1,295
QUICK_SELECT/USER_PRESET5,Denon-K,4,1,296
SURROUND_MODE_DIRECT_STEREO,Denon-K,4,1,305
SURROUND_MODE_AUTO,Denon-K,4,1,324
SURROUND_MODE_AURO_3D_PREVIOUS,Denon-K,4,1,332
SURROUND_MODE_NEURAL,Denon-K,4,1,347
SURROUND_MODE_DOLBY_ATMOS,Denon-K,4,1,348
SURROUND_MODE_AURO_3D_NEXT,Denon-K,4,1,349
INPUT:MODEHDMI,Denon-K,4,1,357
INPUT:MODEDIGITAL,Denon-K,4,1,359
INPUT:MODEDECODE,Denon-K,4,1,364
CHANNEL_LEVEL,Denon-K,4,1,378
SUBWOOFER2_LEVEL_UP,Denon-K,4,1,410
SUBWOOFER2_LEVEL_DOWN,Denon-K,4,1,411
DOLBY_TFL_SPEAKER_LEVEL_UP,Denon-K,4,1,417
DOLBY_TFL_SPEAKER_LEVEL_DOWN,Denon-K,4,1,418
DOLBY_TFR_SPEAKER_LEVEL_UP,Denon-K,4,1,419
DOLBY_TFR_SPEAKER_LEVEL_DOWN,Denon-K,4,1,420
DOLBY_TML_SPEAKER_LEVEL_UP,Denon-K,4,1,421
DOLBY_TML_SPEAKER_LEVEL_DOWN,Denon-K,4,1,422
DOLBY_TMR_SPEAKER_LEVEL_UP,Denon-K,4,1,423
DOLBY_TMR_SPEAKER_LEVEL_DOWN,Denon-K,4,1,424
DOLBY_TRL_SPEAKER_LEVEL_UP,Denon-K,4,1,425
DOLBY_TRL_SPEAKER_LEVEL_DOWN,Denon-K,4,1,426
DOLBY_TRR_SPEAKER_LEVEL_UP,Denon-K,4,1,427
DOLBY_TRR_SPEAKER_LEVEL_DOWN,Denon-K,4,1,428
DOLBY_RHL_SPEAKER_LEVEL_UP,Denon-K,4,1,429
DOLBY_RHL_SPEAKER_LEVEL_DOWN,Denon-K,4,1,430
DOLBY_RHR_SPEAKER_LEVEL_UP,Denon-K,4,1,431
DOLBY_RHR_SPEAKER_LEVEL_DOWN,Denon-K,4,1,432
DOLBY_LF_SPEAKER_LEVEL_UP,Denon-K,4,1,433
DOLBY_LF_SPEAKER_LEVEL_DOWN,Denon-K,4,1,434
DOLBY_RF_SPEAKER_LEVEL_UP,Denon-K,4,1,435
DOLBY_RF_SPEAKER_LEVEL_DOWN,Denon-K,4,1,436
DOLBY_SL_SPEAKER_LEVEL_UP,Denon-K,4,1,437
DOLBY_SL_SPEAKER_LEVEL_DOWN,Denon-K,4,1,438
DOLBY_SR_SPEAKER_LEVEL_UP,Denon-K,4,1,439
DOLBY_SR_SPEAKER_LEVEL_DOWN,Denon-K,4,1,440
DOLBY_LB_SPEAKER_LEVEL_UP,Denon-K,4,1,441
DOLBY_LB_SPEAKER_LEVEL_DOWN,Denon-K,4,1,442
DOLBY_RB_SPEAKER_LEVEL_UP,Denon-K,4,1,443
DOLBY_RB_SPEAKER_LEVEL_DOWN,Denon-K,4,1,444
LFC_ON,Denon-K,4,1,445
LFC_OFF,Denon-K,4,1,446
LFC_TOGGLE_ON/OFF,Denon-K,4,1,456
DSX_SELECT,Denon-K,4,1,529
DYNAMIC_VOLUME_TOGGLE_MODE,Denon-K,4,1,545
DYNAMIC_EQ_TOGGLE_ON/OFF,Denon-K,4,1,547
RESTORER_MODE,Denon-K,4,1,548
DYNAMIC_EQ/VOLUME_TOGGLE_MODE,Denon-K,4,1,549
FRONT_SPEAKER_A,Denon-K,4,1,550
FRONT_SPEAKER_B,Denon-K,4,1,552
FRONT_SPEAKER_A+B,Denon-K,4,1,554
RESTORER_OFF,Denon-K,4,1,556
RESTORER_MODE1,Denon-K,4,1,557
