functionname,protocol,device,subdevice,function
KEY_POWER,NEC,91,-1,0
KEY_VOLUMEUP,NEC,91,-1,1
KEY_VOLUMEDOWN,NEC,91,-1,2
Remain,NEC,91,-1,3
A.Edit,NEC,91,-1,4
Tuner_Band,NEC,91,-1,7
Tape_1/2,NEC,91,-1,9
P.Mode,NEC,91,-1,11
EQ_Pattern,NEC,91,-1,17
CD_Play,NEC,91,-1,18
CD_Stop,NEC,91,-1,19
Skip_Forward,NEC,91,-1,20
Skip_Backward,NEC,91,-1,21
Prog,NEC,91,-1,22
KEY_AGAIN,NEC,91,-1,23
KEY_OPEN,NEC,91,-1,24
KEY_PLAY,NEC,91,-1,25
KEY_PLAY,NEC,91,-1,26
KEY_FASTFORWARD,NEC,91,-1,27
Fast_Rewind,NEC,91,-1,28
KEY_STOP,NEC,91,-1,29
KEY_RECORD,NEC,91,-1,31
KEY_1,NEC,91,-1,77
KEY_2,NEC,91,-1,78
KEY_3,NEC,91,-1,79
KEY_4,NEC,91,-1,80
KEY_5,NEC,91,-1,81
KEY_6,NEC,91,-1,82
KEY_7,NEC,91,-1,83
KEY_8,NEC,91,-1,84
KEY_9,NEC,91,-1,85
KEY_0,NEC,91,-1,86
KEY_2,NEC,91,-1,87
Random,NEC,91,-1,90
KEY_1,NEC,91,-1,91
Disc,NEC,91,-1,94
