functionname,protocol,device,subdevice,function
KEY_1,Denon{1},8,-1,66
KEY_2,Denon{1},8,-1,67
KEY_3,Denon{1},8,-1,68
KEY_4,Denon{1},8,-1,69
KEY_5,Denon{1},8,-1,70
KEY_6,Denon{1},8,-1,71
KEY_7,Denon{1},8,-1,72
KEY_8,Denon{1},8,-1,73
KEY_9,Denon{1},8,-1,74
KEY_0,Denon{1},8,-1,75
KEY_10CHANNELSUP,Denon{1},8,-1,76
program,Denon{1},8,-1,77
KEY_VOLUMEUP,Denon{1},8,-1,78
KEY_VOLUMEDOWN,Denon{1},8,-1,79
KEY_OPEN,Denon{1},8,-1,80
call,Denon{1},8,-1,82
rep_all,Denon{1},8,-1,84
rep_a-b,Denon{1},8,-1,85
direct,Denon{1},8,-1,87
KEY_NEXT,Denon{1},8,-1,88
KEY_PREVIOUS,Denon{1},8,-1,89
KEY_FORWARD,Denon{1},8,-1,90
bwd,Denon{1},8,-1,91
KEY_PLAY,Denon{1},8,-1,92
KEY_PAUSE,Denon{1},8,-1,93
KEY_STOP,Denon{1},8,-1,94
