functionname,protocol,device,subdevice,function
POWER TOGGLE,NEC1,32,-1,0
AUTO,NEC1,32,-1,1
INFO,NEC1,32,-1,2
BRIGHTNESS +,NEC1,32,-1,3
CONTRAST +,NEC1,32,-1,4
COLOR +,NEC1,32,-1,5
VOLUME +,NEC1,32,-1,6
BRIGHTNESS -,NEC1,32,-1,7
CONTRAST -,NEC1,32,-1,8
COLOR -,NEC1,32,-1,9
VOLUME -,NEC1,32,-1,10
VGA,NEC1,32,-1,11
DVI,NEC1,32,-1,12
COMPOSITE,NEC1,32,-1,13
AV-MUTE,NEC1,32,-1,14
COMPONENT,NEC1,32,-1,15
S-VIDEO,NEC1,32,-1,16
STILL,NEC1,32,-1,17
TIME,NEC1,32,-1,18
ASPECT,NEC1,32,-1,19
MENU,NEC1,32,-1,20
LEFT KEY,NEC1,32,-1,21
RIGHT KEY,NEC1,32,-1,22
GAMMA -,NEC1,32,-1,23
GAMMA +,NEC1,32,-1,24
* (STAR),NEC1,32,-1,25
1,NEC1,32,-1,26
2,NEC1,32,-1,27
3,NEC1,32,-1,28
4,NEC1,32,-1,29
5,NEC1,32,-1,30
6,NEC1,32,-1,31
7,NEC1,32,-1,32
8,NEC1,32,-1,33
9,NEC1,32,-1,34
STORE,NEC1,32,-1,35
0,NEC1,32,-1,36
RECALL,NEC1,32,-1,37
ARROW UP,NEC1,32,-1,38
ARROW LEFT,NEC1,32,-1,39
OK,NEC1,32,-1,40
ARROW RIGHT,NEC1,32,-1,41
ARROW DOWN,NEC1,32,-1,42
POWER ON,NEC1,32,-1,128
POWER OFF,NEC1,32,-1,129
