functionname,protocol,device,subdevice,function
0,NEC1,58,-1,0
1,NEC1,58,-1,1
2,NEC1,58,-1,2
3,NEC1,58,-1,3
4,NEC1,58,-1,4
5,NEC1,58,-1,5
6,NEC1,58,-1,6
7,NEC1,58,-1,7
8,NEC1,58,-1,8
9,NEC1,58,-1,9
CURSOR UP,NEC1,58,-1,16
CURSOR DOWN,NEC1,58,-1,17
CURSOR RIGHT,NEC1,58,-1,18
CURSOR LEFT,NEC1,58,-1,19
CURSOR OK,NEC1,58,-1,20
MUTE,NEC1,58,-1,21
BRIGHTNESS +,NEC1,58,-1,24
BRIGHTNESS -,NEC1,58,-1,25
CONTRAST +,NEC1,58,-1,26
CONTRAST -,NEC1,58,-1,27
POWER ON,NEC1,58,-1,28
POWER OFF,NEC1,58,-1,29
RED BUTTON,NEC1,58,-1,30
MENU,NEC1,58,-1,31
PIP ON/OFF,NEC1,58,-1,37
PIP SWAP,NEC1,58,-1,38
