functionname,protocol,device,subdevice,function
POWER,NEC,18,52,0
OK,NEC,18,52,1
UP,NEC,18,52,2
DOWN,NEC,18,52,3
LEFT,NEC,18,52,4
RIGHT,NEC,18,52,5
VOLUME+,NEC,18,52,6
VOLUME-,NEC,18,52,7
CHANNEL+,NEC,18,52,8
CHANNEL-,NEC,18,52,9
0,NEC,18,52,16
1,NEC,18,52,17
2,NEC,18,52,18
3,NEC,18,52,19
4,NEC,18,52,20
5,NEC,18,52,21
6,NEC,18,52,22
7,NEC,18,52,23
8,NEC,18,52,24
9,NEC,18,52,25
KPMINUS,NEC,18,52,26
MENU,NEC,18,52,27
BACK,NEC,18,52,29
EPG,NEC,18,52,30
FAVORITES,NEC,18,52,31
PREVIOUS,NEC,18,52,32
MUTE,NEC,18,52,34
AUDIO,NEC,18,52,35
ZOOM,NEC,18,52,36
CC,NEC,18,52,37
INFO,NEC,18,52,40
METER,NEC,18,52,44
