functionname,protocol,device,subdevice,function
1,DirecTV,12,-1,1
2,DirecTV,12,-1,2
3,DirecTV,12,-1,3
4,DirecTV,12,-1,4
5,DirecTV,12,-1,5
6,DirecTV,12,-1,6
7,DirecTV,12,-1,7
8,DirecTV,12,-1,8
9,DirecTV,12,-1,9
CHANNEL+,DirecTV,12,-1,13
PAGE+,DirecTV,12,-1,13
CHANNEL-,DirecTV,12,-1,14
PAGE-,DirecTV,12,-1,14
PREVIOUS,DirecTV,12,-1,15
POWER,DirecTV,12,-1,16
0,DirecTV,12,-1,17
-,DirecTV,12,-1,18
ENTER,DirecTV,12,-1,19
MENU,DirecTV,12,-1,32
C-UP,DirecTV,12,-1,33
C-DWN,DirecTV,12,-1,34
C-LF,DirecTV,12,-1,35
C-RT,DirecTV,12,-1,36
SELECT,DirecTV,12,-1,37
EXIT,DirecTV,12,-1,38
BACK,DirecTV,12,-1,39
GUIDE,DirecTV,12,-1,40
ACTIVE,DirecTV,12,-1,41
LIST,DirecTV,12,-1,42
INFO,DirecTV,12,-1,46
PLAY,DirecTV,12,-1,48
SQUARE,DirecTV,12,-1,49
PAUSE,DirecTV,12,-1,50
REWIND,DirecTV,12,-1,51
FASTFORWARD,DirecTV,12,-1,52
R,DirecTV,12,-1,53
AROUNDTORIGHT,DirecTV,12,-1,54
AROUNDTOLEFT,DirecTV,12,-1,55
RED,DirecTV,12,-1,65
YELLOW,DirecTV,12,-1,66
GREEN,DirecTV,12,-1,67
BLUE,DirecTV,12,-1,68
