functionname,protocol,device,subdevice,function
ONE,DirecTV,12,-1,1
TWO,DirecTV,12,-1,2
THREE,DirecTV,12,-1,3
FOUR,DirecTV,12,-1,4
FIVE,DirecTV,12,-1,5
SIX,DirecTV,12,-1,6
SEVEN,DirecTV,12,-1,7
EIGHT,DirecTV,12,-1,8
NINE,DirecTV,12,-1,9
CHAN_UP,DirecTV,12,-1,13
CHAN_DOWN,DirecTV,12,-1,14
PREV,DirecTV,12,-1,15
POWER,DirecTV,12,-1,16
ZERO,DirecTV,12,-1,17
DASH,DirecTV,12,-1,18
ENTER,DirecTV,12,-1,19
MENU,DirecTV,12,-1,32
UP,DirecTV,12,-1,33
DOWN,DirecTV,12,-1,34
LEFT,DirecTV,12,-1,35
RIGHT,DirecTV,12,-1,36
SELECT,DirecTV,12,-1,37
EXIT,DirecTV,12,-1,38
BACK,DirecTV,12,-1,39
GUIDE,DirecTV,12,-1,40
ACTIVE,DirecTV,12,-1,41
LIST,DirecTV,12,-1,42
INFO,DirecTV,12,-1,46
PLAY,DirecTV,12,-1,48
STOP,DirecTV,12,-1,49
PAUSE,DirecTV,12,-1,50
REWIND,DirecTV,12,-1,51
FASTFORWARD,DirecTV,12,-1,52
RECORD,DirecTV,12,-1,53
CHAPT_PREV,DirecTV,12,-1,54
CHAPT_NEXT,DirecTV,12,-1,55
RED,DirecTV,12,-1,65
YELLOW,DirecTV,12,-1,66
GREEN,DirecTV,12,-1,67
BLUE,DirecTV,12,-1,68
