functionname,protocol,device,subdevice,function
PLAY,Dish_Network,1,0,3
PAGE -,Dish_Network,1,0,7
PAGE DOWN,Dish_Network,1,0,7
PAGE-,Dish_Network,1,0,7
PAGE +,Dish_Network,1,0,15
PAGE UP,Dish_Network,1,0,15
PAGE+,Dish_Network,1,0,15
BACK,Dish_Network,1,0,49
REWIND,Dish_Network,1,0,49
FORWARD,Dish_Network,1,0,50
FAST FORWARD,Dish_Network,1,0,50
FFWD,Dish_Network,1,0,50
DISH,Dish_Network,1,0,52
DISH BUTTON,Dish_Network,1,0,52
REPLAY,Dish_Network,1,0,54
SKIP BACK,Dish_Network,1,0,54
SKIP FORWARD,Dish_Network,1,0,55
PVR,Dish_Network,1,0,57
RECORDED EVENTS,Dish_Network,1,0,57
DVR,Dish_Network,1,0,57
PIP,Dish_Network,1,0,58
PIP ON/SIZE,Dish_Network,1,0,58
POSITION,Dish_Network,1,0,59
PIP POSITION,Dish_Network,1,0,59
SWAP,Dish_Network,1,0,61
PIP SWAP,Dish_Network,1,0,61
