functionname,protocol,device,subdevice,function
KEY_1,NEC,128,99,0
KEY_2,NEC,128,99,1
KEY_3,NEC,128,99,2
KEY_4,NEC,128,99,3
KEY_5,NEC,128,99,4
KEY_6,NEC,128,99,5
KEY_7,NEC,128,99,6
KEY_8,NEC,128,99,7
KEY_9,NEC,128,99,8
KEY_0,NEC,128,99,9
KEY_CHANNELUP,NEC,128,99,10
KEY_CHANNELDOWN,NEC,128,99,11
KEY_VOLUMEUP,NEC,128,99,12
KEY_VOLUMEDOWN,NEC,128,99,13
KEY_MUTE,NEC,128,99,14
KEY_POWER,NEC,128,99,15
KEY_INFO,NEC,128,99,16
quick_view,NEC,128,99,17
KEY_SLEEP,NEC,128,99,19
reset,NEC,128,99,21
KEY_MENU,NEC,128,99,26
KEY_NEXT,NEC,128,99,30
status,NEC,128,99,64
display_cancel,NEC,128,99,66
text_mix_tv,NEC,128,99,69
KEY_RED,NEC,128,99,74
KEY_GREEN,NEC,128,99,75
KEY_YELLOW,NEC,128,99,76
KEY_BLUE,NEC,128,99,77
KEY_ENTER,NEC,128,99,85
normal,NEC,128,99,86
