functionname,protocol,device,subdevice,function
ALT (RCA,Old),15,-1,3
CTR + (RCA,Old),15,-1,3
GUIDE (RCA,Old),15,-1,5
NEXT (RCA,Old),15,-1,5
SOURCE (RCA,Old),15,-1,5
SUB + (RCA,Old),15,-1,5
PREV CH (RCA,Old),15,-1,23
MENU (RCA,Old),15,-1,24
EXIT (RCA,Old),15,-1,39
FLASHBK (RCA,Old),15,-1,39
POWER ON (RCA,Old),15,-1,41
POWER (RCA,Old),15,-1,42
OFF/ON (RCA,Old),15,-1,42
POWER OFF (RCA,Old),15,-1,42
CH - (RCA,Old),15,-1,44
CH V (RCA,Old),15,-1,44
CH + (RCA,Old),15,-1,45
CH ^ (RCA,Old),15,-1,45
VOL - (RCA,Old),15,-1,46
VOL V (RCA,Old),15,-1,46
VOL + (RCA,Old),15,-1,47
VOL ^ (RCA,Old),15,-1,47
0 (RCA,Old),15,-1,48
0 - DVI2 (RCA,Old),15,-1,48
1 (RCA,Old),15,-1,49
1 - COMPOSITE 1 (RCA,Old),15,-1,49
2 (RCA,Old),15,-1,50
2 - COMPOSITE 2 (RCA,Old),15,-1,50
3 (RCA,Old),15,-1,51
3 - SVIDEO 1 (RCA,Old),15,-1,51
4 (RCA,Old),15,-1,52
4 - SVIDEO 2 (RCA,Old),15,-1,52
5 (RCA,Old),15,-1,53
5 - COMPONENT 1 (RCA,Old),15,-1,53
6 (RCA,Old),15,-1,54
6 - COMPONENT 2 (RCA,Old),15,-1,54
7 (RCA,Old),15,-1,55
7 - RGB1 (RCA,Old),15,-1,55
8 (RCA,Old),15,-1,56
8 - RGB2 (RCA,Old),15,-1,56
9 (RCA,Old),15,-1,57
9 - DVI 1 (RCA,Old),15,-1,57
+10 (RCA,Old),15,-1,58
CURSOR UP (RCA,Old),15,-1,59
SELECT ^ (RCA,Old),15,-1,59
ARROW UP (RCA,Old),15,-1,59
UP (RCA,Old),15,-1,59
ENTER (RCA,Old),15,-1,60
MUTE (RCA,Old),15,-1,63
CURSOR LEFT (RCA,Old),15,-1,100
ADJ < (RCA,Old),15,-1,100
ARROW LEFT (RCA,Old),15,-1,100
LEFT (RCA,Old),15,-1,100
CURSOR RIGHT (RCA,Old),15,-1,101
ADJ > (RCA,Old),15,-1,101
ARROW RIGHT (RCA,Old),15,-1,101
RIGHT (RCA,Old),15,-1,101
SELECT (RCA,Old),15,-1,102
MENU (RCA,Old),15,-1,115
EXIT (RCA,Old),15,-1,116
OFF (RCA,Old),15,-1,117
SOURCE (RCA,Old),15,-1,118
ON (RCA,Old),15,-1,119
0 (RCA,Old),15,-1,124
1 (RCA,Old),15,-1,125
2 (RCA,Old),15,-1,126
3 (RCA,Old),15,-1,127
4 (RCA,Old),15,-1,128
5 (RCA,Old),15,-1,129
6 (RCA,Old),15,-1,130
7 (RCA,Old),15,-1,131
8 (RCA,Old),15,-1,132
9 (RCA,Old),15,-1,133
UP (RCA,Old),15,-1,135
LEFT (RCA,Old),15,-1,138
RIGHT (RCA,Old),15,-1,139
ENTER (RCA,Old),15,-1,140
DOWN (RCA,Old),15,-1,141
INFO (RCA,Old),15,-1,142
GUIDE (RCA,Old),15,-1,143
CURSOR DOWN (RCA,Old),15,-1,176
SELECT V (RCA,Old),15,-1,176
ARROW DN (RCA,Old),15,-1,176
DOWN (RCA,Old),15,-1,176
INFO (RCA,Old),15,-1,225
MODE + (RCA,Old),15,-1,225
FAV (RCA,Old),15,-1,226
GUIDE (RCA,Old),15,-1,226
SCREEN R (RCA,Old),15,-1,226
