functionname,protocol,device,subdevice,function
1,NEC1,99,-1,205
2,NEC1,99,-1,206
3,NEC1,99,-1,207
4,NEC1,99,-1,208
5,NEC1,99,-1,209
6,NEC1,99,-1,210
7,NEC1,99,-1,211
8,NEC1,99,-1,212
9,NEC1,99,-1,213
0,NEC1,99,-1,214
MENU,NEC1,99,-1,215
PAUSE,NEC1,99,-1,216
UP,NEC1,99,-1,217
LEFT,NEC1,99,-1,218
RIGHT,NEC1,99,-1,219
DOWN,NEC1,99,-1,220
STOP,NEC1,99,-1,221
PLAY,NEC1,99,-1,222
ARTIST,NEC1,99,-1,228
GENRE,NEC1,99,-1,229
PLAYLIST,NEC1,99,-1,231
REPEAT,NEC1,99,-1,232
RANDOM,NEC1,99,-1,233
POWER,NEC1,99,-1,235
DEFAULT_O/P,NEC1,99,-1,236
VOLUME+,NEC1,99,-1,237
VOLUME-,NEC1,99,-1,238
MUTE,NEC1,99,-1,239
OUTPUT,NEC1,99,-1,240
DISC+,NEC1,99,-1,241
DISC-,NEC1,99,-1,242
RECORD,NEC1,99,-1,243
DELETE,NEC1,99,-1,244
INFO,NEC1,99,-1,245
HOME,NEC1,99,-1,246
SELECT,NEC1,99,-1,247
TRACK-,NEC1,99,-1,248
TRACK+,NEC1,99,-1,249
