functionname,protocol,device,subdevice,function
0,RC5,15,-1,0
1,RC5,15,-1,1
2,RC5,15,-1,2
3,RC5,15,-1,3
4,RC5,15,-1,4
5,RC5,15,-1,5
6,RC5,15,-1,6
7,RC5,15,-1,7
8,RC5,15,-1,8
9,RC5,15,-1,9
MUTE,RC5,15,-1,11
NEW CODE,RC5,15,-1,11
POWER,RC5,15,-1,12
CHANGER OUTPUT,RC5,15,-1,13
MENU,RC5,15,-1,14
HOME,RC5,15,-1,15
VOLUME +,RC5,15,-1,16
VOLUME -,RC5,15,-1,17
I,RC5,15,-1,18
INFO,RC5,15,-1,18
X,RC5,15,-1,19
EXIT,RC5,15,-1,19
CURSOR UP,RC5,15,-1,20
CURSOR RIGHT,RC5,15,-1,21
CURSOR DOWN,RC5,15,-1,22
CURSOR LEFT,RC5,15,-1,23
TOP MENU,RC5,15,-1,24
ANGLE,RC5,15,-1,25
AUDIO,RC5,15,-1,26
SUBTITLE,RC5,15,-1,27
REPEAT,RC5,15,-1,28
BACK,RC5,15,-1,29
FFW,RC5,15,-1,32
SKIP >>,RC5,15,-1,32
REW,RC5,15,-1,33
SKIP <<,RC5,15,-1,33
PAUSE,RC5,15,-1,48
SELECT,RC5,15,-1,49
PLAY,RC5,15,-1,53
STOP,RC5,15,-1,54
RECORD,RC5,15,-1,55
REC,RC5,15,-1,55
OSD,RC5,15,-1,56
CHAPTER +,RC5,15,-1,57
CHANNEL +,RC5,15,-1,57
CHAPTER -,RC5,15,-1,58
CHANNEL -,RC5,15,-1,58
