functionname,protocol,device,subdevice,function
KEY_0,RC5,7,-1,0
KEY_1,RC5,7,-1,1
KEY_2,RC5,7,-1,2
KEY_3,RC5,7,-1,3
KEY_4,RC5,7,-1,4
KEY_5,RC5,7,-1,5
KEY_6,RC5,7,-1,6
KEY_7,RC5,7,-1,7
KEY_8,RC5,7,-1,8
KEY_9,RC5,7,-1,9
KEY_102ND,RC5,7,-1,10
KEY_POWER,RC5,7,-1,12
key,RC5,7,-1,13
KEY_CLEAR,RC5,7,-1,15
KEY_FAVORITES,RC5,7,-1,16
KEY_FAVORITES,RC5,7,-1,17
KEY_BACK,RC5,7,-1,18
pgm,RC5,7,-1,19
tune_up,RC5,7,-1,20
tune_down,RC5,7,-1,21
envelope,RC5,7,-1,30
preset_up,RC5,7,-1,32
preset_down,RC5,7,-1,33
timer,RC5,7,-1,36
KEY_AGAIN,RC5,7,-1,56
