functionname,protocol,device,subdevice,function
POWER,NEC,32,-1,1
BACKLIGHT,NEC,32,-1,2
RESET,NEC,32,-1,3
IRISOPEN,NEC,32,-1,4
PRESET,NEC,32,-1,6
ID,NEC,32,-1,7
IRISCLOSE,NEC,32,-1,8
FOCUSNEAR,NEC,32,-1,9
1,NEC,32,-1,10
4,NEC,32,-1,11
IRISAUTO,NEC,32,-1,12
FOCUSFAR,NEC,32,-1,13
2,NEC,32,-1,14
5,NEC,32,-1,15
FOCUSAUTO,NEC,32,-1,17
3,NEC,32,-1,18
6,NEC,32,-1,19
DOWN,NEC,32,-1,22
,NEC,32,-1,23
TELE,NEC,32,-1,24
MENU,NEC,32,-1,25
UP,NEC,32,-1,26
WIDE,NEC,32,-1,28
LEFT,NEC,32,-1,29
HOME,NEC,32,-1,30
RIGHT,NEC,32,-1,31
