functionname,protocol,device,subdevice,function
KEY_1,NECx1,22,22,0
KEY_2,NECx1,22,22,1
KEY_3,NECx1,22,22,2
KEY_4,NECx1,22,22,3
KEY_5,NECx1,22,22,4
KEY_6,NECx1,22,22,5
KEY_7,NECx1,22,22,6
KEY_8,NECx1,22,22,7
KEY_9,NECx1,22,22,8
KEY_0,NECx1,22,22,9
KEY_CHANNELUP,NECx1,22,22,10
KEY_CHANNELDOWN,NECx1,22,22,11
KEY_VOLUMEUP,NECx1,22,22,12
KEY_VOLUMEDOWN,NECx1,22,22,13
KEY_MUTE,NECx1,22,22,14
KEY_POWER,NECx1,22,22,15
quick_view,NECx1,22,22,16
KEY_SLEEP,NECx1,22,22,19
add,NECx1,22,22,20
KEY_DELETE,NECx1,22,22,21
KEY_SELECT,NECx1,22,22,22
call,NECx1,22,22,23
auto,NECx1,22,22,25
KEY_CHANNELDOWN,NECx1,22,22,26
KEY_CLOSE,NECx1,22,22,28
cc_channel,NECx1,22,22,29
