functionname,protocol,device,subdevice,function
0,XMP-2,14,0,0
1,XMP-2,14,0,1
2,XMP-2,14,0,2
3,XMP-2,14,0,3
4,XMP-2,14,0,4
3,XMP-2,14,0,4
5,XMP-2,14,0,4
5,XMP-2,14,0,5
6,XMP-2,14,0,6
7,XMP-2,14,0,7
8,XMP-2,14,0,8
9,XMP-2,14,0,9
PAGE +,XMP-2,14,0,12
CH/PAGE +,XMP-2,14,0,12
CH/PAGE UP,XMP-2,14,0,12
PG UP,XMP-2,14,0,13
PG DOWN,XMP-2,14,0,14
PAGE -,XMP-2,14,0,14
CH/PAGE -,XMP-2,14,0,14
CH/PG DN,XMP-2,14,0,14
POWER,XMP-2,14,0,15
POWER OFF,XMP-2,14,0,15
ENTER,XMP-2,14,0,16
MODE,XMP-2,14,0,17
SETUP,XMP-2,14,0,18
GUIDE,XMP-2,14,0,20
OPEN GLOBE,XMP-2,14,0,20
OPTION,XMP-2,14,0,20
OPTIONS,XMP-2,14,0,20
OG,XMP-2,14,0,21
CURSOR UP,XMP-2,14,0,22
,XMP-2,14,0,22
CURSOR DOWN,XMP-2,14,0,23
CURSOR LEFT,XMP-2,14,0,24
CURSOR RIGHT,XMP-2,14,0,25
SELECT,XMP-2,14,0,26
INFO,XMP-2,14,0,27
MENU,XMP-2,14,0,27
SELECT,XMP-2,14,0,27
MENU/VIEW,XMP-2,14,0,27
SKIP BACK,XMP-2,14,0,32
<<,XMP-2,14,0,32
SEARCH << BACKSPACE,XMP-2,14,0,32
,XMP-2,14,0,33
SKIP FORWARD,XMP-2,14,0,34
PLAY,XMP-2,14,0,34
>>,XMP-2,14,0,34
SEARCH >> SPACE,XMP-2,14,0,34
STOP,XMP-2,14,0,36
PAUSE,XMP-2,14,0,36
RECORD,XMP-2,14,0,36
PAUSE,XMP-2,14,0,37
TITLE,XMP-2,14,0,39
ANGLE,XMP-2,14,0,40
IRADIO,XMP-2,14,0,42
NEXT,XMP-2,14,0,42
RESUME,XMP-2,14,0,42
,XMP-2,14,0,43
MUSIC,XMP-2,14,0,44
ADD FAV,XMP-2,14,0,45
,XMP-2,14,0,46
PLAY FAVORITES,XMP-2,14,0,46
PLAY FAVS,XMP-2,14,0,46
RANDOM FAV,XMP-2,14,0,47
RANDOM,XMP-2,14,0,47
SHUFFLE,XMP-2,14,0,47
