functionname,protocol,device,subdevice,function
0,MCE,1,22,0
1_./_?',MCE,1,22,1
1,MCE,1,22,1
2,MCE,1,22,2
3_DEF,MCE,1,22,3
3,MCE,1,22,3
4,MCE,1,22,4
5_JKL,MCE,1,22,5
5,MCE,1,22,5
6,MCE,1,22,6
7_PQRS,MCE,1,22,7
7,MCE,1,22,7
8,MCE,1,22,8
9_WXYZ,MCE,1,22,9
9,MCE,1,22,9
VOLUME-,MCE,1,22,11
CHANNELPAGE+,MCE,1,22,13
CH/PAGE+,MCE,1,22,13
CHANNEL+,MCE,1,22,13
PAGE-,MCE,1,22,14
CH/PAGE_DOWN,MCE,1,22,14
POWER,MCE,1,22,15
PWR,MCE,1,22,15
ENTER,MCE,1,22,16
MODE,MCE,1,22,17
LAST/MODE,MCE,1,22,17
MODE/LAST,MCE,1,22,17
SETUP,MCE,1,22,18
OPTIONS,MCE,1,22,19
GUIDE,MCE,1,22,20
GUIDE_TOGGLE,MCE,1,22,20
MENU-HOME,MCE,1,22,20
OPEN_GLOBE,MCE,1,22,21
GLOBE,MCE,1,22,21
DISC_FLIP,MCE,1,22,21
OPENGLOBE,MCE,1,22,21
TOGGLE/EXIT,MCE,1,22,21
UP,MCE,1,22,22
UP,MCE,1,22,22
DOWN,MCE,1,22,23
DOWN,MCE,1,22,23
LEFT,MCE,1,22,24
RIGHT,MCE,1,22,25
RIGHT,MCE,1,22,25
OK,MCE,1,22,26
INFO/ALL,MCE,1,22,27
INFO,MCE,1,22,27
MENU/VIEW,MCE,1,22,28
MENU/VIEW,MCE,1,22,28
MENU,MCE,1,22,28
VIEW_TOGGLE,MCE,1,22,28
REWIND/BACKSPACE,MCE,1,22,32
REWIND/BACKSPACE,MCE,1,22,32
REWIND,MCE,1,22,32
BACKSPACE,MCE,1,22,32
REWINDBACKSPACE,MCE,1,22,32
PLAY,MCE,1,22,33
SKIP_NEXT,MCE,1,22,34
FASTFORWARD/SPACE,MCE,1,22,34
FASTFORWARD,MCE,1,22,34
SPACE,MCE,1,22,34
FORWARD_SPACE,MCE,1,22,34
SCAN_NEXT,MCE,1,22,34
RECORD,MCE,1,22,35
STOP,MCE,1,22,36
PAUSE,MCE,1,22,37
MOVIES,MCE,1,22,38
SKIP_NEXT,,MCE,1,22,40
SKIP_PREVIOUS,MCE,1,22,41
I-RADIO,MCE,1,22,42
I_RADIO,MCE,1,22,42
IRADIO,MCE,1,22,42
RADIO,MCE,1,22,42
MENU-RHAPSODY,MCE,1,22,42
NEXT,MCE,1,22,43
DISC+,MCE,1,22,43
JUKEBOX_NEXT,MCE,1,22,43
MUSIC,MCE,1,22,44
MENU-MUSIC,MCE,1,22,44
ADD_FAVORITES,MCE,1,22,45
ADD_TO_FAVORITES,MCE,1,22,45
JUKEBOX_ADD,MCE,1,22,45
PLAY_FAVOR,MCE,1,22,46
PLAY_(FAVORITES),MCE,1,22,46
RAMDOM,MCE,1,22,47
RANDOM,MCE,1,22,47
AUDIO,MCE,1,22,48
MACRO,MCE,1,22,49
JUKEBOX_MACRO,MCE,1,22,49
PREV,MCE,1,22,50
JUKEBOX_PREVIOUS,MCE,1,22,50
JUKEBOX_REPEAT,MCE,1,22,51
REPEAT,MCE,1,22,51
POWER_ON,MCE,1,22,65
POWER_OFF,MCE,1,22,66
PLAYMODE-NORMAL,MCE,1,22,67
PLAYMODE-RPT_TRACK,MCE,1,22,68
PLAYMODE-RPT_TITLE,MCE,1,22,69
PLAYMODE-RPT_GROUP,MCE,1,22,70
PLAYMODE-RAND_TITLE,MCE,1,22,71
PLAYMODE-RAND_GROUP,MCE,1,22,72
VIEW_BY_ARTIST,MCE,1,22,73
VIEW_BY_TITLE,MCE,1,22,74
VIEW_BY_SONG,MCE,1,22,75
VIEW_BY_COVER,MCE,1,22,76
PLAYER,MCE,1,22,77
GUIDE,MCE,1,22,78
