functionname,protocol,device,subdevice,function
ENTER,RC5,1,-1,2
MENU,RC5,1,-1,3
UP,RC5,1,-1,4
RIGHT,RC5,1,-1,5
LEFT,RC5,1,-1,7
VALUE-,RC5,1,-1,7
0,RC5,1,-1,8
2,RC5,1,-1,10
3,RC5,1,-1,11
4,RC5,1,-1,12
5,RC5,1,-1,13
6,RC5,1,-1,14
,RC5,1,-1,14
7,RC5,1,-1,15
9,RC5,1,-1,17
,RC5,1,-1,17
TINT,RC5,1,-1,21
NOISE_REDUCTION,RC5,1,-1,23
ASPECT,RC5,1,-1,24
S-VIDEO,RC5,1,-1,28
RGB,RC5,1,-1,29
YCRCB,RC5,1,-1,30
4:3,RC5,1,-1,32
ANAMORPHIC,RC5,1,-1,34
POWER_ON,RC5,1,-1,35
PST1,RC5,1,-1,37
PST2,RC5,1,-1,38
PST3,RC5,1,-1,39
PST4,RC5,1,-1,40
FACTORY,RC5,1,-1,41
