functionname,protocol,device,subdevice,function
VCR1,NEC1,54,200,64
VCR2,NEC1,54,200,65
VIDEO1,NEC1,54,200,66
VIDEO2,NEC1,54,200,67
AUDIO,NEC1,54,200,70
TAPE,NEC1,54,200,71
DOLBY,NEC1,54,200,72
HALL,NEC1,54,200,73
STADIUM,NEC1,54,200,74
SIMULATED,NEC1,54,200,75
DEFEAT,NEC1,54,200,78
DEL.10,NEC1,54,200,79
DEL.20,NEC1,54,200,80
DEL.30,NEC1,54,200,81
DEL.40,NEC1,54,200,82
DEL.50,NEC1,54,200,83
BALANCE_LEFT,NEC1,54,200,84
BALANCE_RIGHT,NEC1,54,200,85
POWER,NEC1,54,200,89
VOLUME+,NEC1,54,200,90
VOLUME-,NEC1,54,200,91
MUTE,NEC1,54,200,92
LOUDNESS,NEC1,54,200,93
