functionname,protocol,device,subdevice,function
CHANNEL+,NEC,1,253,0
CHANNEL-,NEC,1,253,1
VOLUME+,NEC,1,253,2
VOLUME-,NEC,1,253,3
TV_DBS,NEC,1,253,4
MENU,NEC,1,253,5
TV_RADIO,NEC,1,253,6
POWER,NEC,1,253,8
ZOOM,NEC,1,253,9
AGAIN,NEC,1,253,11
MUTE,NEC,1,253,12
SCROLL_DOWN,NEC,1,253,13
AUDIO,NEC,1,253,14
MULTI,NEC,1,253,15
0,NEC,1,253,16
POWER,NEC,1,253,17
1,NEC,1,253,17
2,NEC,1,253,18
3,NEC,1,253,19
4,NEC,1,253,20
5,NEC,1,253,21
6,NEC,1,253,22
7,NEC,1,253,23
8,NEC,1,253,24
9,NEC,1,253,25
SAT,NEC,1,253,26
SIG,NEC,1,253,27
PIC,NEC,1,253,28
INFO,NEC,1,253,29
PAUSE,NEC,1,253,30
OK,NEC,1,253,31
REWIND,NEC,1,253,34
PLAY,NEC,1,253,35
STOP,NEC,1,253,36
FASTFORWARD,NEC,1,253,37
PAUSE,NEC,1,253,40
FAVORITES,NEC,1,253,64
CALENDAR,NEC,1,253,65
EDIT,NEC,1,253,66
TIMER,NEC,1,253,67
EPG,NEC,1,253,69
RECORD,NEC,1,253,70
FIND,NEC,1,253,71
EXIT,NEC,1,253,72
SCROLL_UP,NEC,1,253,73
BACK,NEC,1,253,80
FORWARD,NEC,1,253,81
