functionname,protocol,device,subdevice,function
KEY_POWER,NEC,128,-1,0
KEY_SUBTITLE,NEC,128,-1,2
KEY_SCREEN,NEC,128,-1,3
KEY_CANCEL,NEC,128,-1,5
KEY_VIDEO,NEC,128,-1,6
KEY_AUDIO,NEC,128,-1,7
KEY_VOLUMEDOWN,NEC,128,-1,8
KEY_INFO,NEC,128,-1,9
KEY_REPLY,NEC,128,-1,11
KEY_BRIGHTNESSDOWN,NEC,128,-1,12
KEY_REWIND,NEC,128,-1,16
KEY_SETUP,NEC,128,-1,17
KEY_UP,NEC,128,-1,18
KEY_DOWN,NEC,128,-1,19
KEY_LEFT,NEC,128,-1,20
KEY_ENTER,NEC,128,-1,21
KEY_RIGHT,NEC,128,-1,22
KEY_TITLE,NEC,128,-1,23
KEY_HOMEPAGE,NEC,128,-1,27
KEY_1,NEC,128,-1,28
KEY_2,NEC,128,-1,29
KEY_3,NEC,128,-1,30
KEY_PREVIOUS,NEC,128,-1,31
KEY_4,NEC,128,-1,64
KEY_5,NEC,128,-1,65
KEY_6,NEC,128,-1,66
KEY_NEXT,NEC,128,-1,67
KEY_7,NEC,128,-1,68
KEY_8,NEC,128,-1,69
KEY_9,NEC,128,-1,70
KEY_0,NEC,128,-1,71
KEY_STOP,NEC,128,-1,72
KEY_PLAYPAUSE,NEC,128,-1,73
KEY_VOLUMEUP,NEC,128,-1,74
KEY_SLOW,NEC,128,-1,77
KEY_FASTFORWARD,NEC,128,-1,78
KEY_MUTE,NEC,128,-1,86
KEY_REDO,NEC,128,-1,87
KEY_MENU,NEC,128,-1,88
KEY_ANGLE,NEC,128,-1,89
KEY_TIME,NEC,128,-1,90
KEY_MEDIA,NEC,128,-1,92
