functionname,protocol,device,subdevice,function
tv_vcr,RCA-38,14,-1,5
clear_reset,RCA-38,14,-1,6
program,RCA-38,14,-1,8
tracking_down,RCA-38,14,-1,10
tracking_up,RCA-38,14,-1,11
KEY_SLOW,RCA-38,14,-1,16
dup_forward_advance,RCA-38,14,-1,16
counter_memory,RCA-38,14,-1,18
KEY_PLAY,RCA-38,14,-1,21
KEY_RECORD,RCA-38,14,-1,23
KEY_PAUSE,RCA-38,14,-1,25
KEY_FASTFORWARD,RCA-38,14,-1,28
KEY_REWIND,RCA-38,14,-1,29
KEY_STOP,RCA-38,14,-1,31
add_delete,RCA-38,14,-1,36
KEY_POWER,RCA-38,14,-1,42
KEY_CHANNELDOWN,RCA-38,14,-1,44
KEY_CHANNELUP,RCA-38,14,-1,45
KEY_0,RCA-38,14,-1,48
KEY_1,RCA-38,14,-1,49
time_am,RCA-38,14,-1,49
KEY_2,RCA-38,14,-1,50
time_pm,RCA-38,14,-1,50
KEY_3,RCA-38,14,-1,51
KEY_4,RCA-38,14,-1,52
KEY_5,RCA-38,14,-1,53
KEY_6,RCA-38,14,-1,54
KEY_7,RCA-38,14,-1,55
KEY_8,RCA-38,14,-1,56
KEY_9,RCA-38,14,-1,57
display,RCA-38,14,-1,60
KEY_EJECTCD,RCA-38,14,-1,64
otr_start,RCA-38,14,-1,68
otr_length,RCA-38,14,-1,69
speed,RCA-38,14,-1,70
input,RCA-38,14,-1,71
KEY_0,RCA-38,14,-1,209
