functionname,protocol,device,subdevice,function
KEY_0,Nokia32,13,80,0
KEY_1,Nokia32,13,80,1
KEY_2,Nokia32,13,80,2
KEY_3,Nokia32,13,80,3
KEY_4,Nokia32,13,80,4
KEY_5,Nokia32,13,80,5
KEY_6,Nokia32,13,80,6
KEY_7,Nokia32,13,80,7
KEY_8,Nokia32,13,80,8
KEY_9,Nokia32,13,80,9
KEY_BACK,Nokia32,13,80,10
KEY_POWER,Nokia32,13,80,12
KEY_MUTE,Nokia32,13,80,13
KEY_INFO,Nokia32,13,80,15
KEY_VOLUMEUP,Nokia32,13,80,16
KEY_VOLUMEDOWN,Nokia32,13,80,17
KEY_CHANNELUP,Nokia32,13,80,32
KEY_CHANNELDOWN,Nokia32,13,80,33
KEY_TEXT,Nokia32,13,80,60
KEY_TV,Nokia32,13,80,63
KEY_SETUP,Nokia32,13,80,69
KEY_SUBTITLE,Nokia32,13,80,75
KEY_LANGUAGE,Nokia32,13,80,78
KEY_AUDIO,Nokia32,13,80,80
KEY_EXIT,Nokia32,13,80,85
KEY_UP,Nokia32,13,80,88
KEY_DOWN,Nokia32,13,80,89
KEY_LEFT,Nokia32,13,80,90
KEY_RIGHT,Nokia32,13,80,91
KEY_OK,Nokia32,13,80,92
ALT,Nokia32,13,80,97
KEY_RED,Nokia32,13,80,109
KEY_GREEN,Nokia32,13,80,110
KEY_YELLOW,Nokia32,13,80,111
KEY_BLUE,Nokia32,13,80,112
KEY_MENU,Nokia32,13,80,120
KEY_LIST,Nokia32,13,80,121
UP_RIGHT,Nokia32,13,80,196
LEFT_UP,Nokia32,13,80,197
DOWN_RIGHT,Nokia32,13,80,198
LEFT_DOWN,Nokia32,13,80,199
KEY_EPG,Nokia32,13,80,204
KEY_VCR,Nokia32,13,80,255
