functionname,protocol,device,subdevice,function
BASS-,NEC1,0,-1,0
DVD,NEC1,0,-1,1
CD,NEC1,0,-1,2
MP3,NEC1,0,-1,3
BASS+,NEC1,0,-1,4
SW-,NEC1,0,-1,5
CEN-,NEC1,0,-1,6
TREBLE+,NEC1,0,-1,7
12,NEC1,0,-1,8
SW+,NEC1,0,-1,9
CEN+,NEC1,0,-1,10
9,NEC1,0,-1,11
8,NEC1,0,-1,12
4,NEC1,0,-1,13
2,NEC1,0,-1,14
5,NEC1,0,-1,15
TUNER+,NEC1,0,-1,16
TUNER,NEC1,0,-1,17
CHURCH,NEC1,0,-1,18
ROCK,NEC1,0,-1,19
TUNER-,NEC1,0,-1,20
R,NEC1,0,-1,21
VOLUME-,NEC1,0,-1,22
STANDBY,NEC1,0,-1,23
TREBLE-,NEC1,0,-1,64
AUX,NEC1,0,-1,65
SL-,NEC1,0,-1,68
SR-,NEC1,0,-1,69
VOLUME+,NEC1,0,-1,70
L,NEC1,0,-1,71
SL+,NEC1,0,-1,72
SR+,NEC1,0,-1,73
11,NEC1,0,-1,74
10,NEC1,0,-1,75
1,NEC1,0,-1,76
3,NEC1,0,-1,77
7,NEC1,0,-1,78
6,NEC1,0,-1,79
HALL,NEC1,0,-1,80
POP,NEC1,0,-1,81
DSP_OFF,NEC1,0,-1,82
JAZZ,NEC1,0,-1,83
RESET,NEC1,0,-1,84
MUTE,NEC1,0,-1,85
AM/FM,NEC1,0,-1,86
MEM,NEC1,0,-1,87
