functionname,protocol,device,subdevice,function
MUTE,RECS80,5,-1,24
EXIT,RECS80,5,-1,25
RF,RECS80,5,-1,27
8,RECS80,5,-1,28
4,RECS80,5,-1,29
POWER,RECS80,5,-1,30
FAV,RECS80,5,-1,31
X_KEY_SCAN,RECS80,5,-1,32
RIGHT,RECS80,5,-1,33
INFO,RECS80,5,-1,34
RED,RECS80,5,-1,35
7,RECS80,5,-1,36
3,RECS80,5,-1,37
YELLOW,RECS80,5,-1,38
MENU,RECS80,5,-1,39
UP,RECS80,5,-1,40
OK,RECS80,5,-1,41
DOWN,RECS80,5,-1,42
0,RECS80,5,-1,43
6,RECS80,5,-1,44
2,RECS80,5,-1,45
X_KEY_TV_RADIO,RECS80,5,-1,46
EPG,RECS80,5,-1,47
LEFT,RECS80,5,-1,49
VOLUME+,RECS80,5,-1,50
9,RECS80,5,-1,51
5,RECS80,5,-1,52
1,RECS80,5,-1,53
BLUE,RECS80,5,-1,54
VOLUME-,RECS80,5,-1,55
X_KEY_TV_AV,RECS80,5,-1,56
GREEN,RECS80,5,-1,59
X_KEY_RCL,RECS80,5,-1,60
