functionname,protocol,device,subdevice,function
AUTO_SCAN,NEC,128,-1,1
VOLUME-,NEC,128,-1,2
SELECT,NEC,128,-1,3
VOLUME,NEC,128,-1,5
ALARM,NEC,128,-1,9
DISPLAY,NEC,128,-1,10
VOLUME+,NEC,128,-1,12
INFO,NEC,128,-1,14
9,NEC,128,-1,15
7,NEC,128,-1,19
1,NEC,128,-1,20
3,NEC,128,-1,21
4,NEC,128,-1,22
POWER,NEC,128,-1,23
MUTE,NEC,128,-1,26
0,NEC,128,-1,28
TIME,NEC,128,-1,30
2,NEC,128,-1,31
STATION-,NEC,128,-1,65
5,NEC,128,-1,76
6,NEC,128,-1,77
8,NEC,128,-1,78
STATION+,NEC,128,-1,79
SHIFT,NEC,128,-1,80
STATION,NEC,128,-1,83
