functionname,protocol,device,subdevice,function
TV/VCR,NEC1,132,98,0
CH V,NEC1,132,98,1
REW <<,NEC1,132,98,2
PLAY/ATR >,NEC1,132,98,3
STOP/EJ [],NEC1,132,98,4
PAUSE ,,,NEC1,132,98,5
POWER,NEC1,132,98,6
CH ^,NEC1,132,98,7
FF >>,NEC1,132,98,8
CLEAR,NEC1,132,98,9
REC,NEC1,132,98,10
LCV (CHANGE),NEC1,132,98,11
OSD,NEC1,132,98,12
MUTE (SELECT),NEC1,132,98,13
CLK/CTR,NEC1,132,98,14
INDEX,NEC1,132,98,15
0 (AUX),NEC1,132,98,16
1,NEC1,132,98,17
2 (TRK -),NEC1,132,98,18
3 (TRK +),NEC1,132,98,19
4,NEC1,132,98,20
5 (PICTURE -),NEC1,132,98,21
6 (PICTURE +),NEC1,132,98,22
7,NEC1,132,98,23
8 (SLOW -),NEC1,132,98,24
9 (SLOW +),NEC1,132,98,25
100,NEC1,132,98,26
VIEW,NEC1,132,98,27
COPY,NEC1,132,98,28
DECK SELECT,NEC1,132,98,29
SKIP (ZERO RTN),NEC1,132,98,30
MENU,NEC1,132,98,31
