functionname,protocol,device,subdevice,function
0,RC5,0,-1,0
1,RC5,0,-1,1
2,RC5,0,-1,2
3,RC5,0,-1,3
4,RC5,0,-1,4
5,RC5,0,-1,5
6,RC5,0,-1,6
7,RC5,0,-1,7
8,RC5,0,-1,8
9,RC5,0,-1,9
POWER,RC5,0,-1,12
MUTE,RC5,0,-1,13
PP,RC5,0,-1,14
I,RC5,0,-1,15
VOLUME+,RC5,0,-1,16
VOLUME-,RC5,0,-1,17
CHANNEL+,RC5,0,-1,32
CHANNEL-,RC5,0,-1,33
SNAKE,RC5,0,-1,34
D.ST.MO,RC5,0,-1,35
TXT.STOP,RC5,0,-1,41
TXT.CLOCK,RC5,0,-1,42
TXT.ZOOM,RC5,0,-1,43
TXT.QUESTION,RC5,0,-1,44
TXT.X,RC5,0,-1,45
TXT.HALF,RC5,0,-1,46
TV.AV,RC5,0,-1,56
TXT.ON,RC5,0,-1,60
TXT.OFF,RC5,0,-1,63
M.SEL,RC5,0,-1,82
M.OFF,RC5,0,-1,83
RED,RC5,0,-1,107
GREEN,RC5,0,-1,108
YELLOW,RC5,0,-1,109
BLUE,RC5,0,-1,110
SEARCH,RC5,0,-1,111
TXT.I,RC5,0,-1,111
