functionname,protocol,device,subdevice,function
OK,Blaupunkt{body},0,-1,0
MUTE,Blaupunkt{body},0,-1,1
SLEEP,Blaupunkt{body},0,-1,2
AUX,Blaupunkt{body},0,-1,7
VOLUME+,Blaupunkt{body},0,-1,8
VOLUME-,Blaupunkt{body},0,-1,9
LIGHTS_TOGGLE,Blaupunkt{body},0,-1,10
LIGHTS_TOGGLE,Blaupunkt{body},0,-1,11
COLOR+,Blaupunkt{body},0,-1,12
COLOR-,Blaupunkt{body},0,-1,13
0,Blaupunkt{body},0,-1,16
1,Blaupunkt{body},0,-1,17
2,Blaupunkt{body},0,-1,18
3,Blaupunkt{body},0,-1,19
4,Blaupunkt{body},0,-1,20
5,Blaupunkt{body},0,-1,21
6,Blaupunkt{body},0,-1,22
7,Blaupunkt{body},0,-1,23
8,Blaupunkt{body},0,-1,24
9,Blaupunkt{body},0,-1,25
PRG+,Blaupunkt{body},0,-1,42
PRG-,Blaupunkt{body},0,-1,43
I,Blaupunkt{body},0,-1,45
BLUE,Blaupunkt{body},0,-1,46
TEXT,Blaupunkt{body},0,-1,48
RED,Blaupunkt{body},0,-1,58
YELLOW,Blaupunkt{body},0,-1,59
GREEN,Blaupunkt{body},0,-1,62
