functionname,protocol,device,subdevice,function
OK,Blaupunkt,0,-1,0
SPEAKER,Blaupunkt,0,-1,1
POWER,Blaupunkt,0,-1,2
16:9,Blaupunkt,0,-1,4
IDTV,Blaupunkt,0,-1,5
AUX,Blaupunkt,0,-1,7
VOL+,Blaupunkt,0,-1,8
VOL-,Blaupunkt,0,-1,9
BRIGHTNESS+,Blaupunkt,0,-1,10
BRIGHTNESS-,Blaupunkt,0,-1,11
CONTRAST+,Blaupunkt,0,-1,12
CONTRAST-,Blaupunkt,0,-1,13
0,Blaupunkt,0,-1,16
1,Blaupunkt,0,-1,17
2,Blaupunkt,0,-1,18
3,Blaupunkt,0,-1,19
4,Blaupunkt,0,-1,20
5,Blaupunkt,0,-1,21
6,Blaupunkt,0,-1,22
7,Blaupunkt,0,-1,23
8,Blaupunkt,0,-1,24
9,Blaupunkt,0,-1,25
P/C,Blaupunkt,0,-1,26
PIP,Blaupunkt,0,-1,41
P+,Blaupunkt,0,-1,42
P-,Blaupunkt,0,-1,43
INFORMATION,Blaupunkt,0,-1,45
BLUE,Blaupunkt,0,-1,46
VIDEOTEXT,Blaupunkt,0,-1,48
RED,Blaupunkt,0,-1,58
YELLOW,Blaupunkt,0,-1,59
GREEN,Blaupunkt,0,-1,62
