functionname,protocol,device,subdevice,function
SIB FILTER,NEC1,132,66,0
70MM,NEC1,132,66,2
ROCK,NEC1,132,66,3
HIGH EQ (HIGH),NEC1,132,66,4
BASS EQ (BASS),NEC1,132,66,5
CUSTOM 2,NEC1,132,66,6
6AXIS,NEC1,132,66,7
STEREO ONLY (S/O),NEC1,132,66,8
THX,NEC1,132,66,10
JAZZ,NEC1,132,66,11
CUSTOM 3,NEC1,132,66,12
CUSTOM 4,NEC1,132,66,13
SURROUND SOUND,NEC1,132,66,14
CLASS,NEC1,132,66,15
MONO+,NEC1,132,66,18
CUSTOM 1,NEC1,132,66,19
EXIT/OK,NEC1,132,66,24
VOLUME -,NEC1,132,66,25
SYSTEM (SETUP),NEC1,132,66,26
OPTIONS (SET),NEC1,132,66,27
SOURCE (EDIT),NEC1,132,66,28
SURR MODE (EDIT),NEC1,132,66,29
SURROUND (BAL),NEC1,132,66,30
SELECT,NEC1,132,66,31
PAN,NEC1,132,66,64
<,NEC1,132,66,65
SOURCES 1,NEC1,132,66,66
SOURCES 2,NEC1,132,66,70
^,NEC1,132,66,72
>,NEC1,132,66,73
SOURCES 3,NEC1,132,66,74
V,NEC1,132,66,75
CENTER SPEAKER,NEC1,132,66,76
VENUE,NEC1,132,66,77
SOURCES 4,NEC1,132,66,78
MUTE,NEC1,132,66,80
POWER,NEC1,132,66,81
SOURCES 5,NEC1,132,66,82
PANEL (DIM),NEC1,132,66,83
SOURCES 6,NEC1,132,66,84
SOURCES 7,NEC1,132,66,85
SOURCES 8,NEC1,132,66,87
VOLUME +,NEC1,132,66,88
RESET,NEC1,132,66,89
CANCEL,NEC1,132,66,90
