functionname,protocol,device,subdevice,function
CASS FAST FORWARD,NEC2,130,114,1
CASS REWIND,NEC2,130,114,2
CASS DECK STOP,NEC2,130,114,3
CASS SEARCH>>,NEC2,130,114,4
CASS SEARCH<<,NEC2,130,114,5
CASS RECORD,NEC2,130,114,6
CASS SELECT A/B,NEC2,130,114,29
SPKR,NEC1,130,114,36
SELECT,NEC1,130,114,42
SKIP -,NEC1,130,114,48
SKIP +,NEC1,130,114,49
PRESET -,NEC1,130,114,58
PRESET +,NEC1,130,114,59
,NEC1,130,114,80
DOLBY,NEC1,130,114,80
DELAY,NEC1,130,114,82
SPEAKER,NEC1,130,114,83
DIGITAL,NEC1,130,114,84
SURROUND,NEC1,130,114,88
OSD,NEC1,130,114,92
CHANNEL,NEC1,130,114,93
CH.,NEC1,130,114,93
SET,NEC1,130,114,132
OFF,NEC2,130,114,137
DELAY,NEC2,130,114,138
TEST,NEC2,130,114,140
TEST,NEC1,130,114,140
CENT MODE,NEC2,130,114,141
THEATER,NEC2,130,114,146
STADIUM,NEC2,130,114,148
CORSOR UP,NEC1,130,114,153
CURSOR DOWN,NEC1,130,114,154
STEREO,NEC1,130,114,155
3-CH,NEC2,130,114,157
PRO-LOGIC,NEC2,130,114,159
DTS SURROUND,NEC1,130,114,160
DTS NEO6,NEC1,130,114,161
LOGIC7,NEC1,130,114,162
CURSOR LEFT,NEC1,130,114,193
CURSOR RIGHT,NEC1,130,114,194
TONE,NEC1,130,114,197
PSET UP,NEC1,130,114,208
PRESET +,NEC1,130,114,208
PSET DN,NEC1,130,114,209
PRESET -,NEC1,130,114,209
6 CH,NEC1,130,114,216
CLEAR,NEC1,130,114,217
