functionname,protocol,device,subdevice,function
OPEN,NEC,130,114,32
POWER,NEC,130,114,33
OFF,NEC,130,114,34
TITLE,NEC,130,114,35
MENU,NEC,130,114,36
ENTER,NEC,130,114,37
UP,NEC,130,114,38
DOWN,NEC,130,114,39
LEFT,NEC,130,114,40
RIGHT,NEC,130,114,41
ENTER,NEC,130,114,42
PLAY,NEC,130,114,43
PAUSE,NEC,130,114,44
STOP,NEC,130,114,45
SEARCHBACK,NEC,130,114,46
SEARCHFORWARD,NEC,130,114,47
PREV.,NEC,130,114,48
NEXT,NEC,130,114,49
SUBTITLE,NEC,130,114,51
SUBTITLE,NEC,130,114,52
AUDIO,NEC,130,114,53
ANGLE,NEC,130,114,54
STATUS,NEC,130,114,57
SLOWBACK,NEC,130,114,58
SLOWFORWARD,NEC,130,114,59
STEPBACK,NEC,130,114,60
STEPFORWARD,NEC,130,114,61
0,NEC,130,114,96
1,NEC,130,114,97
2,NEC,130,114,98
3,NEC,130,114,99
4,NEC,130,114,100
5,NEC,130,114,101
6,NEC,130,114,102
7,NEC,130,114,103
8,NEC,130,114,104
9,NEC,130,114,105
PROG.,NEC,130,114,106
CHECK,NEC,130,114,107
CLEAR,NEC,130,114,108
RANDOM,NEC,130,114,109
AGAIN,NEC,130,114,110
A-B,NEC,130,114,111
