functionname,protocol,device,subdevice,function
0,MCE,18,17,0
1,MCE,18,17,1
2,MCE,18,17,2
3,MCE,18,17,3
4,MCE,18,17,4
5,MCE,18,17,5
6,MCE,18,17,6
7,MCE,18,17,7
8,MCE,18,17,8
9,MCE,18,17,9
LAST,MCE,18,17,10
POWER,MCE,18,17,12
MUTE,MCE,18,17,13
MUTE_TOGGLE,MCE,18,17,13
VOLUME+,MCE,18,17,16
VOLUME-,MCE,18,17,17
CHANNEL+,MCE,18,17,30
CHANNEL-,MCE,18,17,31
MENU,MCE,18,17,84
EXIT,MCE,18,17,85
UP,MCE,18,17,88
DOWN,MCE,18,17,89
LEFT,MCE,18,17,90
RIGHT,MCE,18,17,91
ENTER,MCE,18,17,92
SELECT,MCE,18,17,92
SWAP,MCE,18,17,99
SOURCE,MCE,18,17,139
PHOTO,MCE,18,17,164
SAP/MTS,MCE,18,17,167
SAP,MCE,18,17,167
SLEEP,MCE,18,17,168
ASPECT,MCE,18,17,169
FAV,MCE,18,17,171
.,MCE,18,17,172
._(DOT),MCE,18,17,172
RETURN,MCE,18,17,215
SPLIT,MCE,18,17,216
BBE,MCE,18,17,219
RECORDALL,MCE,18,17,220
