functionname,protocol,device,subdevice,function
VTR8,NEC1,96,-1,4
VTR9,NEC1,96,-1,5
FASTFORWARD,NEC1,96,-1,9
VTR_F.FWD/V.SRCH,NEC1,96,-1,9
REWIND,NEC1,96,-1,10
VTR_REW/V.SRCH_<<,NEC1,96,-1,10
STOP,NEC1,96,-1,11
VTR_STOP,NEC1,96,-1,11
VTR0,NEC1,96,-1,12
VTR1,NEC1,96,-1,13
VTR2,NEC1,96,-1,14
VTR3,NEC1,96,-1,15
VTR/TV_F.ADV,,>,NEC1,96,-1,16
PLAY,NEC1,96,-1,20
VTR_PLAY,NEC1,96,-1,20
VTR/TV,NEC1,96,-1,22
VCR/TV,NEC1,96,-1,22
VTR_POWER,NEC1,96,-1,23
VTR_CHANNEL_V,NEC1,96,-1,24
VTR_CHANNEL_^,NEC1,96,-1,25
PAUSE,,,NEC1,96,-1,26
VTR_PAUSE/STILL,,,NEC1,96,-1,26
EDIT,NEC2,96,-1,26
VTR4,NEC1,96,-1,28
VTR5,NEC1,96,-1,29
VTR6,NEC1,96,-1,30
VTR7,NEC1,96,-1,31
GUIDE,NEC1,96,-1,64
CLEAR,NEC1,96,-1,65
DISPLAY,NEC1,96,-1,66
MEMORY,NEC1,96,-1,68
INDEX,NEC1,96,-1,69
COUNTER_REMAIN,NEC1,96,-1,70
