functionname,protocol,device,subdevice,function
POWER,NEC1,80,173,0
POWER ON,NEC1,80,173,1
POWER OFF,NEC1,80,173,2
VOLYM +,NEC1,80,173,3
VOLYM -,NEC1,80,173,4
MUTE,NEC1,80,173,5
PINP,NEC1,80,173,6
RECALL,NEC1,80,173,7
RGB1,NEC1,80,173,9
RGB 1,NEC1,80,173,9
RGB2,NEC1,80,173,10
RGB 2,NEC1,80,173,10
AV1,NEC1,80,173,11
AV2,NEC1,80,173,12
AV3,NEC1,80,173,13
AV4,NEC1,80,173,14
AUTO,NEC1,80,173,18
MENU,NEC1,80,173,19
UP,NEC1,80,173,20
CURSOR UPP,NEC1,80,173,20
DN,NEC1,80,173,21
CURSOR NER,NEC1,80,173,21
RIGHT,NEC1,80,173,22
GER,NEC1,80,173,22
LEFT,NEC1,80,173,23
NSTER,NEC1,80,173,23
OK,NEC1,80,173,24
CURSOR OK,NEC1,80,173,24
SIZE,NEC1,80,173,25
RETURN,NEC1,80,173,26
