functionname,protocol,device,subdevice,function
KEY_1,Mitsubishi,71,-1,0
KEY_9,Mitsubishi,71,-1,1
KEY_POWER,Mitsubishi,71,-1,2
KEY_2,Mitsubishi,71,-1,8
KEY_0,Mitsubishi,71,-1,9
KEY_CHANNELUP,Mitsubishi,71,-1,10
KEY_3,Mitsubishi,71,-1,16
X_KEY_1#,Mitsubishi,71,-1,17
KEY_CHANNELDOWN,Mitsubishi,71,-1,18
Off-Timer,Mitsubishi,71,-1,23
KEY_4,Mitsubishi,71,-1,24
X_KEY_2#,Mitsubishi,71,-1,25
KEY_AGAIN,Mitsubishi,71,-1,27
Timer,Mitsubishi,71,-1,31
KEY_5,Mitsubishi,71,-1,32
KEY_VOLUMEUP,Mitsubishi,71,-1,34
KEY_6,Mitsubishi,71,-1,40
KEY_VOLUMEDOWN,Mitsubishi,71,-1,42
T.Mod,Mitsubishi,71,-1,47
KEY_7,Mitsubishi,71,-1,48
KEY_MUTE,Mitsubishi,71,-1,50
PMode+,Mitsubishi,71,-1,52
KEY_TIME,Mitsubishi,71,-1,55
KEY_8,Mitsubishi,71,-1,56
PMode-,Mitsubishi,71,-1,60
PMode,Mitsubishi,71,-1,61
