functionname,protocol,device,subdevice,function
but_8,NEC,80,-1,4
but_9,NEC,80,-1,5
tv/video,NEC,80,-1,9
KEY_MUTE,NEC,80,-1,11
but_10,NEC,80,-1,12
but_1,NEC,80,-1,13
but_2,NEC,80,-1,14
but_3,NEC,80,-1,15
KEY_AGAIN,NEC,80,-1,16
timer,NEC,80,-1,17
KEY_VOLUMEUP,NEC,80,-1,18
KEY_VOLUMEDOWN,NEC,80,-1,21
KEY_POWER,NEC,80,-1,23
KEY_CHANNELDOWN,NEC,80,-1,24
KEY_CHANNELUP,NEC,80,-1,25
but_4,NEC,80,-1,28
but_5,NEC,80,-1,29
but_6,NEC,80,-1,30
but_7,NEC,80,-1,31
KEY_ENTER,NEC,80,-1,68
KEY_MENU,NEC,80,-1,83
krasn,NEC,80,-1,91
zelen,NEC,80,-1,92
jolt,NEC,80,-1,93
zelen,NEC,80,-1,94
