functionname,protocol,device,subdevice,function
TV8,NEC1,80,-1,4
TV8_(AM),NEC1,80,-1,4
TV8_AM,NEC1,80,-1,4
TV9,NEC1,80,-1,5
TV9_(PM),NEC1,80,-1,5
TV9_PM,NEC1,80,-1,5
TV100_(ENTER),NEC1,80,-1,6
100,NEC1,80,-1,6
TV_100/ENT,NEC1,80,-1,6
TV_+100,NEC1,80,-1,6
TV_100/ENT_(DISPLAY),NEC1,80,-1,6
TV_AUDIO_MONITOR,NEC1,80,-1,8
AVX,NEC1,80,-1,9
TV_AVX,NEC1,80,-1,9
TV_INPUT,NEC1,80,-1,9
LAST_CH,NEC1,80,-1,10
LAST_CHANNEL,NEC1,80,-1,10
PREV_CH,NEC1,80,-1,10
TV_LST-CH,NEC1,80,-1,10
TV_PREV_CH,NEC1,80,-1,10
TV_LAST_CH,NEC1,80,-1,10
MUTE,NEC1,80,-1,11
TV_MUTE,NEC1,80,-1,11
TV0,NEC1,80,-1,12
TV1,NEC1,80,-1,13
TV2,NEC1,80,-1,14
TV3,NEC1,80,-1,15
RECORDALL,NEC1,80,-1,16
TV_DISPLAY,NEC1,80,-1,16
VOLUME+,NEC1,80,-1,18
VOLUME+,NEC1,80,-1,18
VOLUME+,NEC1,80,-1,18
VCR_VOL_^,NEC1,80,-1,18
TV_AUDIO_LEVEL_^,NEC1,80,-1,18
VOLUME-,NEC1,80,-1,21
VOLUME-,NEC1,80,-1,21
VOLUME-,NEC1,80,-1,21
VCR_VOL_V,NEC1,80,-1,21
TV_AUDIO_LEVEL_V,NEC1,80,-1,21
TV_POWER,NEC1,80,-1,23
TV_CHANNEL-,NEC1,80,-1,24
TV_CHANNEL-,NEC1,80,-1,24
TV_CHANNEL+,NEC1,80,-1,25
TV_CHANNEL+,NEC1,80,-1,25
TV4,NEC1,80,-1,28
TV5,NEC1,80,-1,29
TV5_(DAILY),NEC1,80,-1,29
TV5_DAILY,NEC1,80,-1,29
TV6,NEC1,80,-1,30
TV6_PL,NEC1,80,-1,30
TV6_(WEEKLY),NEC1,80,-1,30
TV6_(PL),NEC1,80,-1,30
TV6_WEEKLY,NEC1,80,-1,30
TV7,NEC1,80,-1,31
MENU/CATV_ENTER,NEC1,80,-1,51
MENU/CATV_MENU,NEC1,80,-1,83
MENU/CATV_UP,NEC1,80,-1,112
MENU/CATV_DOWN,NEC1,80,-1,113
MENU/CATV_RIGHT,NEC1,80,-1,114
MENU/CATV_LEFT,NEC1,80,-1,115
