functionname,protocol,device,subdevice,function
AUTO_TRACKING_^,NEC1,96,158,0
VCR2_TRACKING_^,NEC1,96,158,0
VCR2_AUTO_TRK_^,NEC1,96,158,0
VCR2_MANUAL_^,NEC1,96,158,0
TRACKING+,NEC1,96,158,0
VTR2_TRACKING_^,NEC1,96,158,0
AUTO_TRACKING_V,NEC1,96,158,1
VCR2_TRACKING_V,NEC1,96,158,1
VCR2_AUTO_TRK_V,NEC1,96,158,1
VCR2_MANUAL_V,NEC1,96,158,1
TRACKING-,NEC1,96,158,1
VTR2_TRACKING_V,NEC1,96,158,1
SLOWSPEED+,NEC1,96,158,2
VCR2_SLOW+,NEC1,96,158,2
VCR2_SLOW_SPEED+,NEC1,96,158,2
VCR2_SLOW_^,NEC1,96,158,2
VTR2_SLOW_SPEED+,NEC1,96,158,2
VCR2_SLOW,NEC1,96,158,2
SLOWSPEED-,NEC1,96,158,3
VCR2_SLOW-,NEC1,96,158,3
VCR2_SLOW_SPEED-,NEC1,96,158,3
VCR2_SLOW_V,NEC1,96,158,3
VTR2_SLOW_SPEED-,NEC1,96,158,3
8,NEC1,96,158,4
VCR28,NEC1,96,158,4
VCR28_(AM),NEC1,96,158,4
CAM8,NEC1,96,158,4
VTR28_(T_U_V),NEC1,96,158,4
VCR28_AM,NEC1,96,158,4
9,NEC1,96,158,5
VCR29,NEC1,96,158,5
VCR29_(PM),NEC1,96,158,5
CAM9,NEC1,96,158,5
VTR29_(W_X_Y),NEC1,96,158,5
VCR29_PM,NEC1,96,158,5
VCR2_100/ENT,NEC1,96,158,6
CAM_100/ENT,NEC1,96,158,6
FASTFORWARD/VISUALSRCH,NEC1,96,158,9
VCR2_FFWD,NEC1,96,158,9
VCR2_FFWD,NEC1,96,158,9
VCR2_FF/V.SRCH,NEC1,96,158,9
VCR2_F.FWD/VI.SRCH,NEC1,96,158,9
CAM_F.FWD,NEC1,96,158,9
VCR2_F.FWD/SRCH,NEC1,96,158,9
VCR2_F.FWD,NEC1,96,158,9
F.FWD,NEC1,96,158,9
VTR2_FF/VI.SRCH,NEC1,96,158,9
REWIND/VISUALSRCH,NEC1,96,158,10
VCR2_REW<<,NEC1,96,158,10
VCR2_REW_<<,NEC1,96,158,10
VCR2_REW/V.SRCH_<<,NEC1,96,158,10
VCR2_REW/VISUAL_SRCH,NEC1,96,158,10
CAM_REW_<<,NEC1,96,158,10
VCR2_REW/SRCH_<<,NEC1,96,158,10
REWIND,NEC1,96,158,10
VTR2_REW/VI.SRCH_<<,NEC1,96,158,10
STOP,NEC1,96,158,11
VCR2_STOP,NEC1,96,158,11
VCR2_STOP,NEC1,96,158,11
CAM_STOP,NEC1,96,158,11
VTR2_STOP,NEC1,96,158,11
0,NEC1,96,158,12
VCR20,NEC1,96,158,12
CAM0,NEC1,96,158,12
VTR20_(?_!),NEC1,96,158,12
1,NEC1,96,158,13
VCR21,NEC1,96,158,13
CAM1,NEC1,96,158,13
VTR21_(Q_Z),NEC1,96,158,13
2,NEC1,96,158,14
VCR22,NEC1,96,158,14
CAM2,NEC1,96,158,14
VTR22_(A_B_C),NEC1,96,158,14
3,NEC1,96,158,15
VCR23,NEC1,96,158,15
CAM3,NEC1,96,158,15
