functionname,protocol,device,subdevice,function
0,NEC,64,64,0
1,NEC,64,64,1
2,NEC,64,64,2
3,NEC,64,64,3
4,NEC,64,64,4
5,NEC,64,64,5
6,NEC,64,64,6
7,NEC,64,64,7
8,NEC,64,64,8
9,NEC,64,64,9
POWER,NEC,64,64,10
UP,NEC,64,64,11
MUTE,NEC,64,64,12
OK,NEC,64,64,13
DOWN,NEC,64,64,14
TV,NEC,64,64,15
LEFT,NEC,64,64,16
RIGHT,NEC,64,64,17
I,NEC,64,64,18
VOLUME+,NEC,64,64,21
RED,NEC,64,64,22
GREEN,NEC,64,64,23
YELLOW,NEC,64,64,24
BLUE,NEC,64,64,25
APP,NEC,64,64,26
VOLUME-,NEC,64,64,28
EXIT,NEC,64,64,29
CHANNEL-,NEC,64,64,30
CHANNEL+,NEC,64,64,31
LIST,NEC,64,64,64
OPT,NEC,64,64,65
EPG,NEC,64,64,66
SUBTITLE,NEC,64,64,67
RELOAD,NEC,64,64,69
MENU,NEC,64,64,70
TEXT,NEC,64,64,71
