functionname,protocol,device,subdevice,function
KEY_0,NEC,170,3,0
KEY_1,NEC,170,3,1
KEY_2,NEC,170,3,2
KEY_3,NEC,170,3,3
KEY_4,NEC,170,3,4
KEY_5,NEC,170,3,5
KEY_6,NEC,170,3,6
KEY_7,NEC,170,3,7
KEY_8,NEC,170,3,8
KEY_9,NEC,170,3,9
KEY_CHANNELDOWN,NEC,170,3,10
KEY_CYCLEWINDOWS,NEC,170,3,14
KEY_MUTE,NEC,170,3,15
KEY_POWER,NEC,170,3,16
KEY_MENU,NEC,170,3,18
AUTO/CC,NEC,170,3,19
DISPLAY,NEC,170,3,20
KEY_CHANNELUP,NEC,170,3,28
KEY_CHANNELDOWN,NEC,170,3,29
CH_SEARCH,NEC,170,3,30
KEY_EXIT,NEC,170,3,31
KEY_VOLUMEUP,NEC,170,3,32
KEY_VOLUMEDOWN,NEC,170,3,33
