functionname,protocol,device,subdevice,function
KEY_0,RC5,22,-1,0
KEY_1,RC5,22,-1,1
KEY_2,RC5,22,-1,2
KEY_3,RC5,22,-1,3
KEY_4,RC5,22,-1,4
KEY_5,RC5,22,-1,5
KEY_6,RC5,22,-1,6
KEY_7,RC5,22,-1,7
KEY_8,RC5,22,-1,8
KEY_9,RC5,22,-1,9
KEY_PREVIOUS,RC5,22,-1,10
KEY_POWER,RC5,22,-1,12
f_left,RC5,22,-1,15
KEY_INFO,RC5,22,-1,18
tick/audio,RC5,22,-1,19
tv/r,RC5,22,-1,20
KEY_A,RC5,22,-1,22
KEY_B,RC5,22,-1,23
KEY_C,RC5,22,-1,24
KEY_D,RC5,22,-1,25
game,RC5,22,-1,26
KEY_INFO,RC5,22,-1,27
KEY_UP,RC5,22,-1,32
KEY_DOWN,RC5,22,-1,33
f_right,RC5,22,-1,35
KEY_MENU,RC5,22,-1,36
KEY_MUTE,RC5,22,-1,38
KEY_ESC,RC5,22,-1,39
KEY_PAUSE,RC5,22,-1,41
KEY_AUX,RC5,22,-1,42
KEY_YELLOW,RC5,22,-1,50
KEY_BLUE,RC5,22,-1,52
KEY_GREEN,RC5,22,-1,54
KEY_RED,RC5,22,-1,55
KEY_SLEEP,RC5,22,-1,56
KEY_LEFT,RC5,22,-1,57
KEY_RIGHT,RC5,22,-1,58
KEY_OK,RC5,22,-1,59
KEY_TEXT,RC5,22,-1,60
