functionname,protocol,device,subdevice,function
0,RC5,14,-1,0
1,RC5,14,-1,1
2,RC5,14,-1,2
3,RC5,14,-1,3
4,RC5,14,-1,4
5,RC5,14,-1,5
6,RC5,14,-1,6
7,RC5,14,-1,7
8,RC5,14,-1,8
9,RC5,14,-1,9
MUTE,RC5,14,-1,11
STANDBY,RC5,14,-1,12
OUTPUT SELECT,RC5,14,-1,13
MENU,RC5,14,-1,14
HOME,RC5,14,-1,15
VOLUME +,RC5,14,-1,16
VOLUME -,RC5,14,-1,17
I,RC5,14,-1,18
X,RC5,14,-1,19
CURSOR UP,RC5,14,-1,20
CURSOR RIGHT,RC5,14,-1,21
CURSOR DOWN,RC5,14,-1,22
CURSOR LEFT,RC5,14,-1,23
ALBUM,RC5,14,-1,24
ARTIST,RC5,14,-1,25
GENRE,RC5,14,-1,26
PLAYLIST,RC5,14,-1,27
REPEAT,RC5,14,-1,28
SHUFFLE,RC5,14,-1,29
SKIP >>,RC5,14,-1,32
SKIP <<,RC5,14,-1,33
PAUSE,RC5,14,-1,48
SELECT,RC5,14,-1,49
PLAY,RC5,14,-1,53
STOP,RC5,14,-1,54
RECORD,RC5,14,-1,55
DEFAULT OUTPUT,RC5,14,-1,56
DISC +,RC5,14,-1,57
DISC -,RC5,14,-1,58
