functionname,protocol,device,subdevice,function
NATIVE,NEC,123,2,0
STANDARD,NEC,123,2,1
WIDESCREEN,NEC2,123,2,2
WIDE_ENHANCED,NEC,123,2,3
EXIT,NEC2,123,2,17
MENU,NEC,123,2,18
UP,NEC2,123,2,19
DOWN,NEC,123,2,20
LEFT,NEC,123,2,21
RIGHT,NEC,123,2,22
OK,NEC,123,2,23
POWER_OFF,NEC,123,2,24
POWER_ON,NEC2,123,2,25
,NEC2,123,2,25
PC1_ANALOG,NEC2,123,2,26
PC1_DIGITAL,NEC,123,2,27
COMP_HDTV,NEC2,123,2,28
COMP_INT.,NEC2,123,2,29
S-VIDEO,NEC2,123,2,30
VIDEO,NEC2,123,2,31
PC_HDTV,NEC2,123,2,64
PC_VGA,NEC2,123,2,65
