functionname,protocol,device,subdevice,function
POWER,NEC1,133,237,6
AUDIO,NEC1,133,237,9
SUBTITLE,NEC1,133,237,10
DISC_MENU,NEC1,133,237,11
POP_UP_MENU,NEC1,133,237,12
SETUP,NEC1,133,237,13
LEFT,NEC1,133,237,15
UP,NEC1,133,237,17
RIGHT,NEC1,133,237,19
DOWN,NEC1,133,237,21
ENTER,NEC1,133,237,23
STOP,NEC1,133,237,25
PAUSE,NEC1,133,237,26
PLAY,NEC1,133,237,26
SEARCH_BACK,NEC1,133,237,28
SEARCH_FORWARD,NEC1,133,237,29
SCAN_PREVIOUS,NEC1,133,237,30
SCAN_NEXT,NEC1,133,237,31
DISPLAY,NEC1,133,237,36
OPEN/CLOSE,NEC1,133,237,38
ANGLE,NEC1,133,237,39
0,NEC1,133,237,40
1,NEC1,133,237,42
2,NEC1,133,237,44
3,NEC1,133,237,46
4,NEC1,133,237,48
5,NEC1,133,237,50
6,NEC1,133,237,52
7,NEC1,133,237,54
8,NEC1,133,237,56
9,NEC1,133,237,58
ZOOM,NEC1,133,237,60
REPEAT,NEC1,133,237,62
A-B,NEC1,133,237,63
CLEAR,NEC1,133,237,64
SEARCH,NEC1,133,237,69
RETURN,NEC1,133,237,70
