functionname,protocol,device,subdevice,function
IN_MULTI_CH,NEC1,210,108,4
MULTI_CHANNEL,NEC1,210,108,4
MULTI-CH,NEC1,210,108,4
,NEC1,210,108,4
MULTICHANNEL,NEC1,210,108,4
INPUT:MULTICHANNEL,NEC1,210,108,4
MULTI_CH,NEC2,210,108,4
DSP,NEC1,210,108,24
3,NEC1,210,108,24
DSP,NEC1,210,108,24
MODE:_DSP_UP,NEC1,210,108,24
MODE_DSP_UP,NEC1,210,108,24
DSP+,NEC1,210,108,24
DSP,NEC2,210,108,24
6,NEC1,210,108,24
DSP+,NEC1,210,108,24
DSP,NEC1,210,108,24
8/DSP+,NEC1,210,108,24
DSP,NEC1,210,108,24
3_(DSP_UP),NEC1,210,108,24
DSP_UP,NEC1,210,108,24
DSP_UP,NEC2,210,108,24
6,NEC1,210,108,25
DSP<<,NEC1,210,108,25
MODE:_DSP_DOWN,NEC1,210,108,25
MODE_DSP_DOWN,NEC1,210,108,25
DSP-,NEC1,210,108,25
DSP<,NEC2,210,108,25
DSP_<,NEC1,210,108,25
7/DSP-,NEC1,210,108,25
DSP<,NEC1,210,108,25
6_(DSP_DN),NEC1,210,108,25
DSP_DOWN,NEC1,210,108,25
DSP-,NEC1,210,108,25
<_DSP,NEC1,210,108,25
AUDIO_INPUT-,NEC1,210,108,27
INPUT+,NEC1,210,108,28
INPUT-,NEC1,210,108,29
INPUT:,NEC1,210,108,30
INPUT+,NEC1,210,108,30
INPUT:SELECTUP,NEC1,210,108,30
INPUT:SELECTORUP,NEC1,210,108,30
INPUT:<,NEC1,210,108,31
INPUT-,NEC1,210,108,31
INPUT:SELECTDOWN,NEC1,210,108,31
INPUT:SELECTORDN,NEC1,210,108,31
LEVEL+,NEC2,210,108,66
9,NEC2,210,108,66
CHANNELLEVEL+,NEC2,210,108,66
6_UP,NEC2,210,108,66
LEVEL_UP,NEC1,210,108,66
SPK_LEVEL_UP,NEC1,210,108,66
LEVEL+,NEC2,210,108,66
LEV_UP,NEC2,210,108,66
,NEC1,210,108,66
SPEAKER_LEVEL_DN,NEC1,210,108,66
SPEAKER_LEVEL_UP,NEC1,210,108,66
CHANNELLEVEL+,NEC2,210,108,66
LEVEL_UP,NEC2,210,108,66
,NEC2,210,108,66
LEV+,NEC2,210,108,66
LEVEL-,NEC2,210,108,67
CHANNELLEVEL-,NEC2,210,108,67
9_DOWN,NEC2,210,108,67
LEVEL_DOWN,NEC1,210,108,67
SPK_LEVEL_DOWN,NEC1,210,108,67
LEVEL-,NEC2,210,108,67
LEV_DN,NEC2,210,108,67
,NEC1,210,108,67
SUB_LEVEL_CONTROL,NEC1,210,108,67
CHANNELLEVEL-,NEC2,210,108,67
ENT,NEC2,210,108,67
LEVEL_DOWN,NEC2,210,108,67
,NEC2,210,108,67
LEV-,NEC2,210,108,67
CHANNELSEL/TOPMENU,NEC1,210,108,68
8,NEC1,210,108,68
CHANNEL_SELECT,NEC1,210,108,68
3_CH_SET,NEC1,210,108,68
SPK_CHANNEL_SELECT,NEC1,210,108,68
CHANNELSEL./TOPMENU,NEC1,210,108,68
CHANNELSELTOPMENU,NEC1,210,108,68
