functionname,protocol,device,subdevice,function
STANDBY,NEC1,64,47,0
SLEEP,NEC1,64,47,1
VOL+,NEC1,64,47,3
MONO,NEC1,64,47,4
PTY,NEC1,64,47,5
M,NEC1,64,47,6
VOL-,NEC1,64,47,7
AM/FM,NEC1,64,47,8
RDS,NEC1,64,47,9
PLAY,NEC1,64,47,10
PAUSE,NEC1,64,47,11
CD,NEC1,64,47,12
DISPLAY,NEC1,64,47,13
STOP,NEC1,64,47,15
AUX,NEC1,64,47,16
I<,NEC1,64,47,18
>I,NEC1,64,47,19
REWIND,NEC1,64,47,22
FASTFORWARD,NEC1,64,47,23
ALARM1,NEC1,64,47,24
ALARM2,NEC1,64,47,25
RANDOM,NEC1,64,47,26
REPEAT,NEC1,64,47,27
SNOOZE,NEC1,64,47,28
LIGHT,NEC1,64,47,29
