functionname,protocol,device,subdevice,function
SIBILANCE,NEC1,132,66,0
70_MM_MOVIE,NEC1,132,66,2
ROCK,NEC1,132,66,3
THEATER_EQ.,NEC1,132,66,4
35_MM_MOVIE,NEC1,132,66,6
POP,NEC1,132,66,7
EFX_MUTE,NEC1,132,66,8
THX,NEC1,132,66,10
JAZZ,NEC1,132,66,11
DOLBY,NEC1,132,66,14
HALL1,NEC1,132,66,15
MONO_ENHANCE,NEC1,132,66,18
HALL2,NEC1,132,66,19
AMBIENCE+,NEC1,132,66,24
VOLUME-,NEC1,132,66,25
CENTER_^,NEC1,132,66,64
INPUT:CALIBRATE<,NEC1,132,66,65
CENTER_V,NEC1,132,66,67
SOURCE+,NEC1,132,66,68
AUTO,NEC1,132,66,69
SOURCE-,NEC1,132,66,71
DELAY_^,NEC1,132,66,72
INPUT:CALIBRATE,NEC1,132,66,73
DELAY_V,NEC1,132,66,75
CENTER_ON,NEC1,132,66,76
CENTER_+3DB,NEC1,132,66,79
MUTE,NEC1,132,66,80
POWER,NEC1,132,66,81
DIM.DISPLAY,NEC1,132,66,83
REF.,NEC1,132,66,86
VOLUME+,NEC1,132,66,88
AMBIENCE-,NEC1,132,66,90
SOUND_STAGE,NEC1,132,66,95
