functionname,protocol,device,subdevice,function
DECK2_REC,JVC,131,-1,2
DECK2_STOP,JVC,131,-1,3
DECK2_FF,JVC,131,-1,6
DECK2_REW_<<,JVC,131,-1,7
DUBBING/NORMAL,JVC,131,-1,8
DUBBING/HIGH,JVC,131,-1,9
DECK2_DIRECTION_<,>,JVC,131,-1,11
DECK2_PLAY,JVC,131,-1,12
DECK2_PAUSE,,,JVC,131,-1,13
DECK2_MUSIC_S.,<<,JVC,131,-1,24
DECK2_MUSIC_S.,,JVC,131,-1,25
DECK2_MUTE,JVC,131,-1,28
DECK2,JVC,131,-1,45
DECK1_REC,JVC,131,-1,82
DECK1_STOP,JVC,131,-1,83
DECK1_FF,JVC,131,-1,86
DECK1_REW_<<,JVC,131,-1,87
DECK1_DIRECTION_<,>,JVC,131,-1,91
DECK1_PLAY,JVC,131,-1,92
DECK1_PAUSE,,,JVC,131,-1,93
DECK1_MUSIC_S.,<<,JVC,131,-1,104
DECK1_MUSIC_S.,,JVC,131,-1,105
DECK1_MUTE,JVC,131,-1,108
DECK1,JVC,131,-1,109
