functionname,protocol,device,subdevice,function
STOP / CLEAR,JVC,111,-1,3
SLOW MOTION +,JVC,111,-1,6
SLOW MOTION -,JVC,111,-1,7
POWER,JVC,111,-1,11
PLAY,JVC,111,-1,12
PAUSE,JVC,111,-1,13
JUMP -,JVC,111,-1,14
JUMP +,JVC,111,-1,15
TV / AV / VIDEO,JVC,111,-1,19
NEXT,JVC,111,-1,20
PREVIOUS,JVC,111,-1,21
AUDIO,JVC,111,-1,23
CHANNEL -,JVC,111,-1,24
CHANNEL +,JVC,111,-1,25
1,JVC,111,-1,33
2,JVC,111,-1,34
3,JVC,111,-1,35
4,JVC,111,-1,36
5,JVC,111,-1,37
6,JVC,111,-1,38
7,JVC,111,-1,39
8,JVC,111,-1,40
9,JVC,111,-1,41
SAT TIMER,JVC,111,-1,48
DVD,JVC,111,-1,50
0 / AUX,JVC,111,-1,51
DUBBING,JVC,111,-1,52
VPS / PDC TIMER,JVC,111,-1,53
CANCEL,JVC,111,-1,54
SET UP,JVC,111,-1,55
DISPLAY,JVC,111,-1,56
CURSOR ENTER,JVC,111,-1,60
,JVC,111,-1,60
ON SCREEN,JVC,111,-1,62
HDD,JVC,111,-1,68
CURSOR RIGHT,JVC,111,-1,128
MENU,JVC,111,-1,129
CURSOR UP,JVC,111,-1,130
CURSOR LEFT,JVC,111,-1,132
CURSOR DOWN,JVC,111,-1,134
OPEN / CLOSE,JVC,111,-1,135
PROGRESSIVE SCAN,JVC,111,-1,142
TOP MENU,JVC,111,-1,143
MEMO / MARK,JVC,111,-1,144
CHAPTER +,JVC,111,-1,150
ANGLE / LIVE CHECK,JVC,111,-1,192
PROGRAMME,JVC,111,-1,193
SUBTITLE,JVC,111,-1,196
RECORD,JVC,111,-1,204
RECORD MODE,JVC,111,-1,204
RETURN,JVC,111,-1,212
CHAPTER -,JVC,111,-1,220
EDIT,JVC,111,-1,221
NAVIGATION,JVC,111,-1,224
HELP,JVC,111,-1,232
LIVE,JVC,111,-1,233
