functionname,protocol,device,subdevice,function
UP,JVC,115,-1,1
DOWN,JVC,115,-1,2
EXIT,JVC,115,-1,3
PWR_ON,JVC,115,-1,5
PWR_OFF,JVC,115,-1,6
HIDE,JVC,115,-1,29
MENU,JVC,115,-1,46
RIGHT,JVC,115,-1,52
LEFT,JVC,115,-1,54
INPUT:VIDEO,JVC,115,-1,75
INPUT:S-VIDEO,JVC,115,-1,76
INPUT:COMPONENT,JVC,115,-1,77
TEST,JVC,115,-1,89
CINEMA_"C",JVC,115,-1,105
NATURAL_"N",JVC,115,-1,106
DYNAMIC_"D",JVC,115,-1,107
USER1,JVC,115,-1,108
USER2,JVC,115,-1,109
USER3,JVC,115,-1,110
HDMI-1,JVC,115,-1,112
HDMI-2,JVC,115,-1,113
INFO,JVC,115,-1,116
COLOR_TEMP,JVC,115,-1,118
ASPECT,JVC,115,-1,119
CONTRAST+,JVC,115,-1,120
CONTRAST-,JVC,115,-1,121
BRIGHTNESS+,JVC,115,-1,122
BRIGHTNESS-,JVC,115,-1,123
COLOR+,JVC,115,-1,124
COLOR-,JVC,115,-1,125
SHARP+,JVC,115,-1,126
SHARP-,JVC,115,-1,127
