functionname,protocol,device,subdevice,function
POWER,JVC,191,-1,0
STOP,JVC,191,-1,3
SCAN_NEXT,JVC,191,-1,6
SCAN_PREVIOUS,JVC,191,-1,7
SKIP_PREVIOUS,JVC,191,-1,8
SKIP_NEXT,JVC,191,-1,9
REPEAT/RANDOM,JVC,191,-1,10
PLAY,JVC,191,-1,12
PAUSE,JVC,191,-1,13
1,JVC,191,-1,17
2,JVC,191,-1,18
3,JVC,191,-1,19
4,JVC,191,-1,20
5,JVC,191,-1,21
6,JVC,191,-1,22
7,JVC,191,-1,23
8,JVC,191,-1,24
9,JVC,191,-1,25
PROGRAM,JVC,191,-1,26
10,JVC,191,-1,30
10+,JVC,191,-1,31
CANCEL,JVC,191,-1,44
DISC1,JVC,191,-1,49
DISC2,JVC,191,-1,50
DISC3,JVC,191,-1,51
