functionname,protocol,device,subdevice,function
DAP DELAY/EFECT(,<<),JVC,175,-1,0
SURR EFFECT + (9),JVC,175,-1,0
EFFECT,JVC,175,-1,0
SURR EFFECT - (8),JVC,175,-1,1
DAP MODE (,,),JVC,175,-1,5
DAP MODE (0),JVC,175,-1,5
SURR:MIDNIGHT,JVC,175,-1,8
INPUT - USB,JVC,175,-1,51
CSRP MODE,JVC,175,-1,96
^ (SHIFT+^),JVC,175,-1,112
CURSOR ^,JVC,175,-1,112
V (SHIFT+V),JVC,175,-1,113
CURSOR V,JVC,175,-1,113
> (SHIFT+>),JVC,175,-1,114
CURSOR >,JVC,175,-1,114
< (SHIFT+<),JVC,175,-1,115
CURSOR <,JVC,175,-1,115
EXIT (SHIFT+CHANNEL),JVC,175,-1,120
MENU EXIT,JVC,175,-1,120
SET (SHIFT+MUTE),JVC,175,-1,121
MENU SET,JVC,175,-1,121
