functionname,protocol,device,subdevice,function
sleep_timer,JVC,3,-1,3
display,JVC,3,-1,4
KEY_ENTER,JVC,3,-1,5
KEY_VIDEO,JVC,3,-1,13
cc,JVC,3,-1,14
input,JVC,3,-1,19
KEY_POWER,JVC,3,-1,23
KEY_CHANNELDOWN,JVC,3,-1,24
KEY_CHANNELUP,JVC,3,-1,25
KEY_MUTE,JVC,3,-1,28
KEY_VOLUMEUP,JVC,3,-1,30
KEY_VOLUMEDOWN,JVC,3,-1,31
KEY_0,JVC,3,-1,32
KEY_1,JVC,3,-1,33
KEY_2,JVC,3,-1,34
KEY_3,JVC,3,-1,35
KEY_4,JVC,3,-1,36
KEY_5,JVC,3,-1,37
KEY_6,JVC,3,-1,38
KEY_7,JVC,3,-1,39
KEY_8,JVC,3,-1,40
KEY_9,JVC,3,-1,41
sound,JVC,3,-1,66
X_KEY_0+,JVC,3,-1,119
KEY_MENU,JVC,3,-1,122
aspect,JVC,3,-1,147
theater_pro,JVC,3,-1,213
KEY_EXIT,JVC,3,-1,230
