functionname,protocol,device,subdevice,function
KEY_STOP,JVC,211,-1,3
slow_backward,JVC,211,-1,5
forwartd,JVC,211,-1,6
KEY_REWIND,JVC,211,-1,7
slow_forward,JVC,211,-1,8
KEY_PLAY,JVC,211,-1,12
KEY_PAUSE,JVC,211,-1,13
KEY_AUDIO,JVC,211,-1,23
display,JVC,211,-1,47
zoom_W,JVC,211,-1,81
zoom_T,JVC,211,-1,82
start/stop,JVC,211,-1,89
snapshot,JVC,211,-1,93
shift_up,JVC,211,-1,151
shift_down,JVC,211,-1,152
shift_right,JVC,211,-1,153
shift_left,JVC,211,-1,154
effect_on/off,JVC,211,-1,184
effect,JVC,211,-1,185
