functionname,protocol,device,subdevice,function
KEY_NUMERIC_POUND,JVC,67,-1,3
KEY_FORWARD,JVC,67,-1,6
KEY_REWIND,JVC,67,-1,7
KEY_POWER,JVC,67,-1,11
>,JVC,67,-1,12
||,JVC,67,-1,13
TV/VCR,JVC,67,-1,19
KEY_NEXT,JVC,67,-1,20
KEY_PREVIOUS,JVC,67,-1,21
KEY_AUDIO,JVC,67,-1,23
KEY_CHANNELDOWN,JVC,67,-1,24
^,JVC,67,-1,24
KEY_CHANNELUP,JVC,67,-1,25
KEY_V,JVC,67,-1,25
KEY_1,JVC,67,-1,33
KEY_2,JVC,67,-1,34
KEY_3,JVC,67,-1,35
KEY_4,JVC,67,-1,36
KEY_5,JVC,67,-1,37
KEY_6,JVC,67,-1,38
KEY_7,JVC,67,-1,39
KEY_8,JVC,67,-1,40
KEY_9,JVC,67,-1,41
SP/LP,JVC,67,-1,49
KEY_0,JVC,67,-1,51
Timer,JVC,67,-1,53
KEY_X,JVC,67,-1,54
KEY_MENU,JVC,67,-1,55
--:--,JVC,67,-1,56
OK/START,JVC,67,-1,60
Timer?,JVC,67,-1,61
VHS,JVC,67,-1,67
DV,JVC,67,-1,68
jog_cc,JVC,67,-1,175
l_shuttle,JVC,67,-1,183
r_shuttle,JVC,67,-1,184
PROG,JVC,67,-1,193
Date+,JVC,67,-1,198
Date-,JVC,67,-1,199
Start+,JVC,67,-1,200
Start-,JVC,67,-1,201
Stop+,JVC,67,-1,202
Stop-,JVC,67,-1,203
KEY_RECORD,JVC,67,-1,204
R.A.EDIT,JVC,67,-1,221
IN/OUT,JVC,67,-1,222
jog_cw,JVC,67,-1,237
