functionname,protocol,device,subdevice,function
STOP,Akai,1,-1,3
STOP,Akai,1,-1,3
EJECT,Akai,1,-1,4
ON,Akai,1,-1,5
FASTFORWARD/SHUT.SRCH,Akai,1,-1,6
FASTFORWARD/SHUT.SRCH,Akai,1,-1,6
FASTFORWARD>>/SHUTTLE,Akai,1,-1,6
FASTFORWARD,Akai,1,-1,6
REWIND/SHUT.SRCH,Akai,1,-1,7
REWIND<</SHUTTLE,Akai,1,-1,7
REWIND,Akai,1,-1,7
SLOW,>,Akai,1,-1,8
OFF,Akai,1,-1,10
POWER,Akai,1,-1,11
PLAY,Akai,1,-1,12
PAUSE/STILL,,,Akai,1,-1,13
TV_CH/SET+,Sony12,1,-1,16
TV_CH/SET-,Sony12,1,-1,17
VOLUME+,Sony12,1,-1,18
TV/VIDEO,Akai,1,-1,19
VOLUME-,Sony12,1,-1,19
VIDEO/T-,Akai,1,-1,19
SEARCHFWD_FORWARD,,Akai,1,-1,20
TV_POWER,Sony12,1,-1,21
TV_MENU_(RA_EDIT),Sony12,1,-1,21
TV_MENU,Sony12,1,-1,21
SEARCHRE-,<<,Akai,1,-1,21
FR_ADV,Akai,1,-1,22
CHANNEL-,Akai,1,-1,24
CHANNEL+,Akai,1,-1,25
CHANNEL,Akai,1,-1,25
TV_TV/VIDEO,Sony12,1,-1,37
AUDIO_DUB/PLAY,Akai,1,-1,44
SP/EP,Akai,1,-1,65
AM/PM,Akai,1,-1,66
CANCEL,Akai,1,-1,70
PROG,Akai,1,-1,71
ENTER,Akai,1,-1,78
0,Akai,1,-1,79
0/REPEAT,Akai,1,-1,79
1,Akai,1,-1,80
2,Akai,1,-1,81
3,Akai,1,-1,82
3/TUE,Akai,1,-1,82
4,Akai,1,-1,83
4/WED,Akai,1,-1,83
5,Akai,1,-1,84
5/THU,Akai,1,-1,84
6,Akai,1,-1,85
6/FRI,Akai,1,-1,85
7,Akai,1,-1,86
7/SAT,Akai,1,-1,86
8,Akai,1,-1,87
8/1_ST/2_ND,Akai,1,-1,87
9,Akai,1,-1,88
9/DAILY,Akai,1,-1,88
RECORD,Akai,1,-1,108
RECORD/PLAY,Akai,1,-1,108
