functionname,protocol,device,subdevice,function
CURSOR UP,JVC,115,-1,1
ARROW UP,JVC,115,-1,1
MENU UP,JVC,115,-1,1
CURSOR DOWN,JVC,115,-1,2
ARROW DOWN,JVC,115,-1,2
MENU DOWN,JVC,115,-1,2
PAGE BACK,JVC,115,-1,3
EXIT,JVC,115,-1,3
PAGE/ BACK,JVC,115,-1,3
BACK,JVC,115,-1,3
PRESET,JVC,115,-1,4
POWER ON,JVC,115,-1,5
ON,JVC,115,-1,5
POWER OFF,JVC,115,-1,6
POWER OFF - SEND 2X,JVC,115,-1,6
STANDBY,JVC,115,-1,6
LIGHT,JVC,115,-1,7
INPUT,JVC,115,-1,8
BRIGHT,JVC,115,-1,9
CONT,JVC,115,-1,10
FREEZE,JVC,115,-1,15
COMPUTER,JVC,115,-1,16
PC,JVC,115,-1,16
VIDEO,JVC,115,-1,17
QUICK ALIGN.,JVC,115,-1,19
QUICK ALIGN,JVC,115,-1,19
QUICKALIGN,JVC,115,-1,19
SHARP,JVC,115,-1,20
COLOR,JVC,115,-1,21
TINT,JVC,115,-1,22
OPERATE,JVC,115,-1,23
POWER,JVC,115,-1,23
SCAN POWER,JVC{2},115,-1,23
N.R.,JVC,115,-1,24
V-KEYSTONE UP,JVC,115,-1,27
V-KEYSTONE DOWN,JVC,115,-1,28
AV MUTING,JVC,115,-1,29
HIDE,JVC,115,-1,29
INFO,JVC,115,-1,29
VOL +,JVC,115,-1,30
VOL -,JVC,115,-1,31
LENS.AP,JVC,115,-1,32
ZOOM T,JVC,115,-1,35
V STRETCH ON,JVC,115,-1,35
ZOOM UP,JVC,115,-1,35
ZOOOM T,JVC,115,-1,35
ZOOM W,JVC,115,-1,36
V STRETCH OFF,JVC,115,-1,36
ZOOM DOWN,JVC,115,-1,36
DIGITAL ZOOM +,JVC,115,-1,42
DIGITAL ZOOM -,JVC{2},115,-1,43
MENU,JVC,115,-1,46
ENTER,JVC,115,-1,47
CURSOR ENTER,JVC,115,-1,47
OK,JVC,115,-1,47
MENU/ENTER,JVC,115,-1,48
MENU/ ENTER,JVC,115,-1,48
SELECT =,JVC,115,-1,48
LENS,JVC,115,-1,48
CURSOR RIGHT,JVC,115,-1,52
ARROW RIGHT,JVC,115,-1,52
CURSOR >,JVC,115,-1,52
MENU RIGHT,JVC,115,-1,52
CURSOR LEFT,JVC,115,-1,54
ARROW LEFT,JVC,115,-1,54
CURSOR <,JVC,115,-1,54
MENU LEFT,JVC,115,-1,54
FOCUS +,JVC,115,-1,60
FOCUS UP,JVC,115,-1,60
FOCUS -,JVC,115,-1,61
FOCUS DOWN,JVC,115,-1,61
H-KEYSTONE UP,JVC,115,-1,64
H-KEYSTONE DOWN,JVC,115,-1,65
VIDEO,JVC,115,-1,75
INPUT VIDEO,JVC,115,-1,75
S-VIDEO,JVC,115,-1,76
INPUT S-VIDEO,JVC,115,-1,76
COMPONENT,JVC,115,-1,77
COMP.,JVC,115,-1,77
INPUT COMPONENT,JVC,115,-1,77
SCREEN W,JVC,115,-1,86
SCREEN S,JVC,115,-1,87
CHP,JVC,115,-1,88
TEST,JVC,115,-1,89
STAGE,JVC,115,-1,103
CINEMA 2,JVC,115,-1,104
CINEMA,JVC,115,-1,105
CINEMA MODE,JVC,115,-1,105
CINEMA 1,JVC,115,-1,105
NATURAL,JVC,115,-1,106
NATURAL MODE,JVC,115,-1,106
DYNAMIC,JVC,115,-1,107
USER 1,JVC,115,-1,108
USER 2,JVC,115,-1,109
USER 3,JVC,115,-1,110
HDMI1,JVC,115,-1,112
HDMI 1,JVC,115,-1,112
INPUT HDMI 1,JVC,115,-1,112
HDMI2,JVC,115,-1,113
HDMI 2,JVC,115,-1,113
INPUT HDMI 2,JVC,115,-1,113
INFO,JVC,115,-1,116
GAMMA,JVC,115,-1,117
COLOUR TEMP,JVC,115,-1,118
COLOR TEMP,JVC,115,-1,118
C.TEMP,JVC,115,-1,118
ASPECT,JVC,115,-1,119
ASPECT RATIO,JVC,115,-1,119
DYNAMIC MODE,JVC,115,-1,119
CONTRAST +,JVC,115,-1,120
CONTRAST UP,JVC,115,-1,120
CONTRAST -,JVC,115,-1,121
CONTRAST DOWN,JVC,115,-1,121
BRIGHTNESS +,JVC,115,-1,122
BRIGHTNESS UP,JVC,115,-1,122
BRIGHT +,JVC,115,-1,122
BRIGHTNESS -,JVC,115,-1,123
BRIGHTNESS DOWN,JVC,115,-1,123
BRIGHT -,JVC,115,-1,123
COLOUR +,JVC,115,-1,124
COLOR +,JVC,115,-1,124
COLOUR -,JVC,115,-1,125
COLOR -,JVC,115,-1,125
SHARPNESS +,JVC,115,-1,126
SHARP +,JVC,115,-1,126
SHARPNESS -,JVC,115,-1,127
SHARP -,JVC,115,-1,127
