functionname,protocol,device,subdevice,function
1,NEC1,130,19,1
2,NEC1,130,19,2
3,NEC1,130,19,3
4,NEC1,130,19,4
5,NEC1,130,19,5
6,NEC1,130,19,6
7,NEC1,130,19,7
8,NEC1,130,19,8
9,NEC1,130,19,9
1,NEC1,130,19,82
INPUT:1,NEC1,130,19,82
2,NEC1,130,19,83
INPUT:2,NEC1,130,19,83
3,NEC1,130,19,84
INPUT:3,NEC1,130,19,84
4,NEC1,130,19,85
5,NEC1,130,19,85
INPUT:4,NEC1,130,19,85
6,NEC1,130,19,87
7,NEC1,130,19,88
8,NEC1,130,19,89
9,NEC1,130,19,90
0,NEC1,130,19,92
UP,NEC1,130,19,97
DOWN,NEC1,130,19,102
R1,NEC1,130,19,113
R2,NEC1,130,19,114
R3,NEC1,130,19,115
