functionname,protocol,device,subdevice,function
CD_SCAN_PREVIOUS,NEC1,184,-1,6
CD/LDSCAN-,NEC1,184,-1,6
CDANY-,NEC1,184,-1,6
REWIND,NEC1,184,-1,6
CD_SCAN_NEXT,NEC1,184,-1,7
CD/LDSCAN+,NEC1,184,-1,7
CDANY+,NEC1,184,-1,7
FASTFORWARD,NEC1,184,-1,7
CD_DISC,NEC1,184,-1,8
DISC,NEC1,184,-1,8
CD_DISC_SKIP_(AUTO),NEC1,184,-1,8
CD_FUNCTION,NEC1,184,-1,8
CENTER_LEVEL_V,NEC1,184,-1,10
AUDIO_REV_PLAY_<,NEC1,184,-1,10
SURROUND_CENTER,NEC1,184,-1,11
CENTER,NEC1,184,-1,11
CENTER_LEVEL_^,NEC1,184,-1,11
AUDIO_PLAY,NEC1,184,-1,11
+10,NEC1,184,-1,13
TUNER/CD_+10,NEC1,184,-1,13
CD_+10,NEC1,184,-1,13
TUNER/CD/LD_+10,NEC1,184,-1,13
CD/AUDIO_+10,NEC1,184,-1,13
10+,NEC1,184,-1,13
EQ_EFFECT,NEC1,184,-1,15
EQUALIZER_EFFECT,NEC1,184,-1,15
M,NEC1,184,-1,28
MENU_ON_SCREEN,NEC1,184,-1,29
M1,NEC1,184,-1,64
M2,NEC1,184,-1,65
SURROUND_MEMORY,NEC1,184,-1,68
MEMORY,NEC1,184,-1,68
MEMO,NEC1,184,-1,68
SURROUND_M.CALL,NEC1,184,-1,69
M.CALL,NEC1,184,-1,69
M1,NEC1,184,-1,69
M2,NEC1,184,-1,70
M3,NEC1,184,-1,71
DELAY_TIME_V,NEC1,184,-1,76
AUDIO_ANY_V,NEC1,184,-1,76
V_DELAY,NEC1,184,-1,76
SURROUND_DELAY,NEC1,184,-1,77
DELAY,NEC1,184,-1,77
DELAY_TIME_^,NEC1,184,-1,77
AUDIO_ANY_^,NEC1,184,-1,77
CENTER_MODE,NEC1,184,-1,85
SURROUND_TONE,NEC1,184,-1,86
TEST_TONE,NEC1,184,-1,86
TEST_TONE_ON/OFF,NEC1,184,-1,86
SURROUND_TEST_ZONE,NEC1,184,-1,86
AUDIO_FUNCTION,NEC1,184,-1,86
ON/OFF_TEST_TONE,NEC1,184,-1,86
TEST_TONE_MODE,NEC1,184,-1,87
MODE_TEST_TONE,NEC1,184,-1,87
VIDEO4,NEC1,184,-1,89
0,NEC1,184,-1,128
TUNER/CD0,NEC1,184,-1,128
CD0,NEC1,184,-1,128
TUNER/CD/LD0,NEC1,184,-1,128
CD/AUDIO0,NEC1,184,-1,128
1,NEC1,184,-1,129
TUNER/CD1,NEC1,184,-1,129
CD1,NEC1,184,-1,129
TUNER/CD/LD1,NEC1,184,-1,129
