functionname,protocol,device,subdevice,function
CD_SCAN_PREVIOUS,NEC1,184,-1,6
CD_SCAN_NEXT,NEC1,184,-1,7
CD_DISC,NEC1,184,-1,8
TUNER/CD_+10,NEC1,184,-1,13
+10,NEC1,184,-1,13
EQ.EFFECT,NEC1,184,-1,15
MENU,NEC1,184,-1,29
DELAY_TIME_V,NEC1,184,-1,76
DELAY_TIME_^,NEC1,184,-1,77
TEST_TONE_ON/OFF,NEC1,184,-1,86
TEST_TONE_MODE,NEC1,184,-1,87
DISPLAY,NEC1,184,-1,88
VIDEO4,NEC1,184,-1,89
TUNER/CD0,NEC1,184,-1,128
0,NEC1,184,-1,128
TUNER/CD1,NEC1,184,-1,129
1,NEC1,184,-1,129
TUNER/CD2,NEC1,184,-1,130
2,NEC1,184,-1,130
TUNER/CD3,NEC1,184,-1,131
3,NEC1,184,-1,131
TUNER/CD4,NEC1,184,-1,132
4,NEC1,184,-1,132
TUNER/CD5,NEC1,184,-1,133
5,NEC1,184,-1,133
TUNER/CD6,NEC1,184,-1,134
6,NEC1,184,-1,134
TUNER/CD7,NEC1,184,-1,135
7,NEC1,184,-1,135
TUNER/CD8,NEC1,184,-1,136
8,NEC1,184,-1,136
TUNER/CD9,NEC1,184,-1,137
9,NEC1,184,-1,137
VIDEO3,NEC1,184,-1,138
TUNERP.CALL-,NEC1,184,-1,140
TUNER_BAND,NEC1,184,-1,143
PHONO,NEC1,184,-1,144
TUNER,NEC1,184,-1,145
CD,NEC1,184,-1,146
VIDEO2,NEC1,184,-1,147
TAPE1,NEC1,184,-1,148
TAPE2,NEC1,184,-1,149
VIDEO1,NEC1,184,-1,150
TUNERP.CALL+,NEC1,184,-1,153
TUNER_P.CALL,NEC1,184,-1,153
VOLUMECONTROL-,NEC1,184,-1,154
VOLUMECONTROL-,NEC1,184,-1,154
VOLUMECONTROL+,NEC1,184,-1,155
VOLUMECONTROL+,NEC1,184,-1,155
MUTE,NEC1,184,-1,156
POWER,NEC1,184,-1,157
TUNER_DIRECT,NEC1,184,-1,158
EQ.M.CALL,NEC1,184,-1,197
CD_STOP,NEC1,184,-1,201
CD_PLAY/PAUSE>/,,,NEC1,184,-1,203
CD_SKIP,<<,NEC1,184,-1,206
CD_SKIP,,NEC1,184,-1,207
TAPEA_REV_PLAY_<,NEC1,184,-1,208
TAPEA_R.PLAY_<,NEC1,184,-1,208
TAPEA_PLAY,NEC1,184,-1,209
TAPEA_REW_<<,NEC1,184,-1,210
TAPEA_FF,NEC1,184,-1,211
TAPEA_FFWD,NEC1,184,-1,211
TAPEA_PAUSE,,,NEC1,184,-1,212
TAPEA_STOP,NEC1,184,-1,213
TAPEA_REC,NEC1,184,-1,214
BYPASS,NEC1,184,-1,215
SURROUND,NEC1,184,-1,215
TAPEB_REV_PLAY_<,NEC1,184,-1,216
TAPEB_R.PLAY_<,NEC1,184,-1,216
TAPEB_PLAY,NEC1,184,-1,217
TAPEB_REW_<<,NEC1,184,-1,218
TAPEB_FF,NEC1,184,-1,219
TAPEB_FFWD,NEC1,184,-1,219
TAPEB_PAUSE,,,NEC1,184,-1,220
TAPEB_STOP,NEC1,184,-1,221
TAPEB_REC,NEC1,184,-1,222
