functionname,protocol,device,subdevice,function
KEY_0,NEC,182,4,0
KEY_1,NEC,182,4,1
KEY_2,NEC,182,4,2
KEY_3,NEC,182,4,3
KEY_4,NEC,182,4,4
KEY_5,NEC,182,4,5
KEY_6,NEC,182,4,6
KEY_7,NEC,182,4,7
KEY_8,NEC,182,4,8
KEY_9,NEC,182,4,9
KEY_10CHANNELSUP,NEC,182,4,12
KEY_EJECTCD,NEC,182,4,16
KEY_STOP,NEC,182,4,17
KEY_REWIND,NEC,182,4,22
KEY_FORWARD,NEC,182,4,23
Time_Display,NEC,182,4,24
KEY_CLEAR,NEC,182,4,26
KEY_PLAY,NEC,182,4,31
KEY_RECORD,NEC,182,4,80
Auto_Mark,NEC,182,4,82
KEY_RECORD,NEC,182,4,84
KEY_RECORD,NEC,182,4,85
Synchro_Rec,NEC,182,4,86
Timer,NEC,182,4,87
KEY_PLAY,NEC,182,4,154
KEY_POWER,NEC,182,4,157
Display,NEC,182,4,196
KEY_RECORD,NEC,182,4,197
KEY_ENTER,NEC,182,4,200
Track_Edit,NEC,182,4,202
Programm,NEC,182,4,219
